Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
Les Animaux Fantastiques : les Secrets de Dumbledore;Aventure;Fantastique;David Yates;Eddie Redmayne;Jude Law;Mads Mikkelsen;2,9;good;J.K. Rowling;U.S.A.;Warner Bros. France;Anglais;2.0;5.0;2.0;142;13;avril;2022;0;0
Les aventures des enfants du chemin de fer;Aventure;Drame;Morgan Matthews;Jenny Agutter;Tom Courtenay;Sheridan Smith;;soso;Danny Brocklehurst;Grande-Bretagne;;Anglais;1.0;1.0;3.0;98;13;février;2023;0;0
Les Bad Guys;Aventure;Animation;Pierre Perifel;Pierre Niney;Sam Rockwell;Igor Gotesman;3,6;good;Etan Cohen;U.S.A.;Universal Pictures International France;Anglais;0.0;5.0;4.0;100;6;avril;2022;1;0
Les Banshees d'Inisherin;Comédie;Drame;Martin McDonagh;Colin Farrell;Brendan Gleeson;Kerry Condon;3,8;good;Martin McDonagh;Irlande;The Walt Disney Company France;Anglais;4.0;1.0;7.0;114;28;décembre;2022;31;0
Les bois maudits;Policier;Drame;Jean-Marc Rudnicki;Blandine Bellavoir;Samir Boitard;Stephan Wojtowicz;2,8;soso;Olivier Berclaz;France;France 3;Français;1.0;0.0;0.0;90;25;décembre;2021;0;0
Les Bonnes étoiles;Drame;;Hirokazu Kore-eda;Song Kang-Ho;Dong-won Gang;Doona Bae;3,7;good;Hirokazu Kore-eda;Corée du Sud;Metropolitan FilmExport;Coréen;4.0;0.0;0.0;129;7;décembre;2022;8;0
Les Cadors;Comédie dramatique;;Julien Guetta;Grégoire Ludig;Jean-Paul Rouve;Michel Blanc;3,0;soso;Julien Guetta;France;Jour2fête;Français;0.0;0.0;4.0;85;11;janvier;2023;1;0
Les Chants du Cœur;Comédie;Romance;Soner Caner;Erkan Kolçak Köstendil;Hazar Ergüçlü;Bülent Emin Yarar;;good;Soner Caner;Turquie;;Turc;0.0;0.0;0.0;95;10;août;2022;0;0
Les Cinq Diables;Comédie;Comédie dramatique;Léa Mysius;Adèle Exarchopoulos;Sally Dramé;Swala Emati;3,2;good;Léa Mysius;France;Le Pacte;Français;2.0;6.0;0.0;97;31;août;2022;3;0
Les Crimes du Futur;Drame;Epouvante-horreur;David Cronenberg;Viggo Mortensen;Léa Seydoux;Kristen Stewart;3,7;soso;David Cronenberg;Canada;Metropolitan FilmExport;Anglais;5.0;16.0;5.0;108;25;mai;2022;7;0
Les Cyclades;Comédie;;Marc Fitoussi;Laure Calamy;Olivia Côte;Kristin Scott Thomas;3,1;good;Marc Fitoussi;France;Memento Distribution;Français;2.0;2.0;0.0;110;11;janvier;2023;1;0
Les Démons d’argile;Animation;Famille;Nuno Beato;Cédric Carlier;Cédric Carlier;Aloïse Sauvage;;good;Cristina Pinheiro;Portugal;Cinéma Public Films;Portugais;0.0;0.0;0.0;85;21;septembre;2022;1;0
Les Enfants des autres;Drame;;Rebecca Zlotowski;Virginie Efira;Roschdy Zem;Chiara Mastroianni;4,1;good;Rebecca Zlotowski;France;Ad Vitam;Français;2.0;2.0;9.0;103;21;septembre;2022;8;0
Les Engagés;Drame;;Emilie Frèche;Benjamin Lavernhe;Julia Piaton;Bruno Todeschini;3,2;soso;Emilie Frèche;France;Tandem;Français;1.0;4.0;1.0;98;16;novembre;2022;0;0
Les Femmes du square;Comédie;;Julien Rambaldi;Eye Haïdara;Ahmed Sylla;Léa Drucker;3,3;good;Julien Rambaldi;France;UGC Distribution;Français;0.0;2.0;0.0;105;16;novembre;2022;1;0
Les Goûts et les couleurs;Comédie;;Michel Leclerc;Rebecca Marder;Félix Moati;Judith Chemla;3,4;good;Michel Leclerc;France;Pyramide Distribution;Français;2.0;1.0;2.0;110;22;juin;2022;0;0
Les Harkis;Drame;Historique;Philippe Faucon;Théo Cholbi;Mohamed El Amine Mouffok;Pierre Lottin;3,9;good;Philippe Faucon;France;Pyramide Distribution;Français;3.0;1.0;0.0;82;12;octobre;2022;2;0
Les histoires d’Anouk;Comédie;Romance;Jacques Kluger;Bérengère Krief;Noémie Chicheportiche;Rodolphe Sand;;good;Jacques Kluger;France;France TV.Slash;Français;0.0;1.0;0.0;90;9;mai;2023;0;0
Les Huit Montagnes;Drame;;Charlotte Vandermeersch;Luca Marinelli;Alessandro Borghi;Filippo Timi;3,0;excellent;Charlotte Vandermeersch;Italie;Pyramide Distribution;Italien;0.0;2.0;0.0;147;21;décembre;2022;7;0
Les Liaisons dangereuses;Comédie;Comédie dramatique;Rachel Suissa;Paola Locatelli;Simon Rérolle;Alexis Michalik;;bad;Rachel Suissa;France;;Français;0.0;0.0;0.0;109;8;juillet;2022;0;0
Les Lignes courbes de Dieu;Drame;Thriller;Oriol Paulo;Bárbara Lennie;Eduard Fernández;Loreto Mauleón;;good;Guillem Clua;Espagne;;Espagnol;2.0;1.0;1.0;155;9;décembre;2022;0;0
Les Miens;Drame;;Roschdy Zem;Sami Bouajila;Roschdy Zem;Meriem Serbah;3,6;good;Roschdy Zem;France;Le Pacte;Français;9.0;5.0;9.0;85;23;novembre;2022;4;0
Les Monstres du foot;Animation;Comédie;Mitch Schauer;Zlatan Ibrahimovic;Megan Rapinoe;Al Yankovic;;bad;Deeki Deke;U.S.A.;;Anglais;0.0;0.0;0.0;73;9;novembre;2022;0;0
Les Murs vagabonds;Aventure;Animation;Hiroyasu Ishida;Daiki Yamashita;Kana Hanazawa;Nana Mizuki;;good;Hiroyasu Ishida;U.S.A.;;Japonais;0.0;0.0;0.0;120;16;septembre;2022;0;0
