Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
Deadlock;Action;Thriller;Jared Cohn;Bruce Willis;Patrick Muldoon;Matthew Marsden;;soso;Jared Cohn;U.S.A.;;Anglais;0.0;1.0;0.0;100;12;octobre;2022;1;0
Deadly Illusions;Drame;Thriller;Anna Elizabeth James;Kristin Davis;Dermot Mulroney;Shanola Hampton;;bad;Anna Elizabeth James;U.S.A.;;Anglais;0.0;1.0;0.0;114;18;mars;2021;0;0
Death Valley;Action;Epouvante-horreur;Matthew Ninaber;Jeremy Ninaber;Ethan Mitchell;Kristen Kaster;;bad;Matthew Ninaber;Canada;;Anglais;0.0;0.0;0.0;93;29;juin;2022;0;0
Déclic amoureux;Romance;;Jason James (II);Emily Tennant;Tyler Johnston;Kylee Bush;;good;;Canada;;Anglais;0.0;0.0;0.0;91;19;février;2021;0;0
Dédales;Policier;;Bogdan George Apetri;Ioana Bugarin;Emanuel Parvu;Cezar Antal;3,2;soso;Bogdan George Apetri;Roumanie;Arizona Distribution;Roumain;8.0;0.0;0.0;118;20;juillet;2022;4;0
Défense d’atterrir;Action;Drame;Jae-rim Han;Song Kang-Ho;Lee Byung-Hun;Do-Yeon Jeon;;good;Jae-rim Han;Corée du Sud;ARP Sélection;Coréen;1.0;0.0;0.0;141;30;novembre;2022;2;0
Délices romantiques;Romance;;Brooke Nevin;Donna Benedicto;Preston Vanderslice;Markian Tarasiuk;;soso;;Canada;;Anglais;0.0;0.0;0.0;82;31;mai;2021;0;0
Délicieux;Comédie;Historique;Eric Besnard;Grégory Gadebois;Isabelle Carré;Benjamin Lavernhe;3,3;good;Eric Besnard;France;SND;Français;2.0;1.0;5.0;113;8;septembre;2021;3;0
Délicieux Noël;Romance;;Graeme Campbell;Erin Agostino;Dillon Casey;Deborah Tennant;;good;Kelli Crawford;U.S.A.;M6;Anglais;0.0;0.0;0.0;90;7;décembre;2021;0;0
Demonic;Epouvante-horreur;Science Fiction;Neill Blomkamp;Carly Pope;Chris William Martin;Michael Rogers;;bad;Neill Blomkamp;Canada;Metropolitan FilmExport;Anglais;6.0;0.0;0.0;104;15;septembre;2021;0;0
Deep;Drame;Science Fiction;Adirek Wattaleela;Panisara Rikulsurakan;Kay Lertsittichai;Krit Jeerapattananuwong;;soso;Wisit Sasanatieng;Thaïlande;;Thaï;0.0;0.0;0.0;101;24;octobre;2022;0;0
Deep Evil;Epouvante-horreur;Thriller;Bradley Parker;Adan Canto;Will Patton;Jonathan Sadowski;;bad;Stefan Jaworski;U.S.A.;;Anglais;0.0;0.0;0.0;89;14;octobre;2021;0;0
Derrière toi;Epouvante-horreur;Thriller;Patrick White;Ava Preston;Kaelen Ohm;Jamie Bloch;;soso;John Ainslie;Canada;;Anglais;0.0;0.0;0.0;91;23;janvier;2023;0;0
Dernier Round;Drame;;Mohamed Fekrane;Youseff Ettouile;Ahmed El Mir;Yassine El Garda;;good;Gustavo Cortés Bueno;Maroc;;Arabe;0.0;0.0;0.0;80;7;février;2014;0;0
Dernier Soleil;Drame;Thriller;Etienne Constantinesco;Eric Sobkow;Esteban Laroche;LoÏc Rouault;;soso;Etienne Constantinesco;France;;Français;0.0;0.0;0.0;68;24;juin;2021;0;0
Des vies froissées;Drame;;Can Ulkay;Çağatay Ulusoy;Emir Ali Doğrul;Ersin Arıcı;;good;Ercan Mehmet Erdem;Turquie;;Turc;0.0;0.0;0.0;97;12;mars;2021;0;0
Désertitude;Comédie;;Vincent Morvan;Mikaël Alhawi;Céline Martin-Sisteron;Aurélia Ciattoni;;good;Vincent Morvan;France;Matsylie Productions;Français;0.0;0.0;0.0;74;17;août;2022;0;0
Despedida;Fantastique;;Luciana Mazeto;Anaís Grala Wegner;Patricia Soso;Ida Celina;2,8;soso;Luciana Mazeto;Brésil;Wayna Pitch;Portugais;0.0;0.0;0.0;90;14;décembre;2022;0;0
Detective Conan - The Scarlet Bullet;Action;Animation;Chika Nagaoka;Minami Hamabe;Megumi Hayashibara;Kenichi Ogata;3,3;soso;Takeharu Sakurai;Japon;Eurozoom;Japonais;0.0;0.0;0.0;110;26;mai;2021;0;0
Détour mortel : La fondation;Epouvante-horreur;;Mike P. Nelson;Charlotte Vega;Adain Bradley;Bill Sage;;soso;Alan B. McElroy;U.S.A.;Metropolitan FilmExport;Anglais;0.0;0.0;0.0;110;3;juin;2021;0;0
Dhamaka : L'effet d'une bombe;Action;Drame;Ram Madhvani;Kartik Aaryan;Mrunal Thakur;Amruta Subhash;;soso;Ram Madhvani;Inde;;Hindi;0.0;0.0;0.0;103;19;novembre;2021;0;0
Diabolik;Action;;Antonio Manetti;Miriam Leone;Luca Marinelli;Valerio Mastandrea;;soso;Antonio Manetti;Italie;Metropolitan FilmExport;Italien;3.0;0.0;2.0;133;3;janvier;2023;0;0
Diamante;Thriller;;Daniele Falleri;Stefania Rocca;Fortunato Cerlino;Elisa Visari;;bad;;Italie;;Italien;0.0;0.0;0.0;90;29;octobre;2021;0;0
Diana : La comédie musicale;Biopic;Musical;Christopher Ashley;Jeanna de Waal;Erin Davie;Roe Hartrampf;;soso;Joe Dipietro;U.S.A.;;Anglais;1.0;0.0;0.0;117;1;octobre;2021;9;0
Die In A Gunfight;Action;Drame;Collin Schiffli;Diego Boneta;Alexandra Daddario;Justin Chatwin;;bad;Andrew Barrer;U.S.A.;;Anglais;0.0;0.0;0.0;92;15;novembre;2021;0;0
Dieu n'est pas mort 4;Drame;;Vance Null;David A.R. White;William Forsythe;Isaiah Washington;;soso;Tommy Blaze;U.S.A.;Saje Distribution;Anglais;0.0;0.0;0.0;92;10;mai;2020;0;0
Doctor;Action;Thriller;Nelson Dilipkumar;Milind Soman;Sivakarthikeyan;Yogi Babu;;good;;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;148;9;octobre;2021;0;0
Don't Breathe 2;Epouvante-horreur;Thriller;Rodolfo Sayagues;Stephen Lang;Madelyn Grace;Brendan Sexton III;3,0;soso;Fede Alvarez;U.S.A.;Sony Pictures Releasing France;Anglais;0.0;0.0;0.0;99;25;août;2021;0;0
Don’t Look Up: Déni cosmique;Comédie;;Adam McKay;Leonardo DiCaprio;Jennifer Lawrence;Meryl Streep;3,8;good;Adam McKay;U.S.A.;;Anglais;3.0;8.0;11.0;142;24;décembre;2021;12;0
Doors;Drame;Science Fiction;Jeff Desom;Wilson Bethel;Lina Esco;Jordan Rock;;soso;Chris White (III);U.S.A.;;Anglais;0.0;0.0;0.0;84;7;octobre;2022;0;0
Dos;Thriller;;Mar Targarona;Marina Gatell;Pablo Derqui;Kandido Uranga;;bad;Cuca Canals;Espagne;;Espagnol;0.0;0.0;0.0;70;10;décembre;2021;0;0
Doutes;Drame;;François Hanss;Muriel Robin;Elodie Wallace;Olivier Claverie;;good;Elodie Wallace;France;Arte;Français;1.0;4.0;0.0;67;25;octobre;2021;0;0
Down In Paris;Drame;Romance;Antony Hickling;Antony Hickling;Jean-Christophe Bouvet;Dominique Frot;3,0;soso;Antony Hickling;France;Optimale Distribution;Français;0.0;0.0;0.0;100;2;mars;2022;0;0
Down With The King;Drame;;Diego Ongaro;Freddie Gibbs;Bob Tarasuk;Jamie Neumann;4,0;good;Xabi Molia;U.S.A.;;Anglais;0.0;0.0;0.0;100;12;septembre;2022;6;0
Dragon Knight;Aventure;Fantastique;Lawrie Brewster;Lawrie Brewster;Erich Redman;;;soso;Sarah Daly;Grande-Bretagne;;Anglais;0.0;0.0;0.0;100;7;juillet;2022;0;0
Dramarama;Comédie;Drame;Jonathan Wysocki;Nick Pugliese;Nico Greetham;Anna Grace Barlow;;soso;Jonathan Wysocki;U.S.A.;;Anglais;0.0;0.0;0.0;91;17;mars;2022;0;0
Drame en haute mer;Policier;Drame;Adeline Darraux;Barbara Schulz;Arié Elmaleh;Virginie Hocq;;soso;Camille Autain;France;France 2;Français;0.0;1.0;2.0;90;12;janvier;2022;0;0
Drive My Car;Drame;Romance;Ryūsuke Hamaguchi;Hidetoshi Nishijima;Toko Miura;Masaki Okada;4,6;good;Ryūsuke Hamaguchi;Japon;Diaphana Distribution;Japonais;7.0;0.0;0.0;177;18;août;2021;21;0
Droit de vie et de mort;Drame;Thriller;Austin Stark;Julia Stiles;Kelsey Grammer;Colman Domingo;;soso;Austin Stark;U.S.A.;;Anglais;0.0;2.0;2.0;98;5;octobre;2021;0;0
Drushyam 2;Drame;Thriller;Jeethu Joseph;Venkatesh Daggubati;Meena;Tanikella Bharani;;soso;Jeethu Joseph;Inde;;Autre;0.0;0.0;0.0;152;18;février;2021;0;0
Ducobu Président !;Comédie;;Elie Semoun;Elie Semoun;Émilie Caen;Gabin Tomasino;2,4;bad;;France;UGC Distribution;Français;2.0;2.0;0.0;86;13;juillet;2022;0;0
Duel à Noël chez les Mitchell;Comédie;Romance;Rich Newey;Robert Buckley;Ana Ayora;Treat Williams;;soso;Erin Rodman;U.S.A.;TF1;Anglais;0.0;0.0;0.0;84;28;novembre;2022;0;0
Dune;Drame;Science Fiction;Denis Villeneuve;Timothée Chalamet;Rebecca Ferguson;Oscar Isaac;4,0;excellent;Jon Spaihts;U.S.A.;Warner Bros. France;Anglais;2.0;8.0;1.0;156;15;septembre;2021;26;0
Dybbuk;Drame;Epouvante-horreur;Jay K;Emraan Hashmi;Nikita Dutta;Manav Kaul;;soso;;Inde;;Hindi;0.0;2.0;0.0;112;28;octobre;2021;0;0
Dynasty Warriors;Action;Aventure;Chow Hin Yeung Roy;Kai Wang;Louis Koo;Geng Han;;soso;Chi-Long To;Hong-Kong;;Mandarin;0.0;0.0;0.0;119;24;octobre;2022;0;0
Edge of the World;Biopic;Drame;Michael Haussman;Jonathan Rhys-Meyers;Josie Ho;Dominic Monaghan;;soso;Rob Allyn;U.S.A.;;Anglais;0.0;1.0;0.0;104;19;novembre;2021;0;0
Eggs;Animation;;John Michael Williams;Joe Pantoliano;Brooke Shields;Sandra Bernhard;;soso;John Michael Williams;U.S.A.;;Anglais;0.0;0.0;1.0;88;23;juin;2021;0;0
El buen patrón;Comédie;;Fernando León de Aranoa;Javier Bardem;Manolo Solo;Almudena Amor;3,6;good;Fernando León de Aranoa;Espagne;Paname Distribution;Espagnol;2.0;11.0;1.0;120;22;juin;2022;0;0
El comediante;Comédie;Comédie dramatique;Gabriel Nuncio;Gabriel Nuncio;Cassandra Ciangherotti;Adriana Paz;;soso;Gabriel Nuncio;Mexique;;Espagnol;0.0;0.0;0.0;105;14;janvier;2022;0;0
El Planeta;Comédie;Drame;Amalia Ulman;Ale Ulman;Amalia Ulman;Nacho Vigalondo;;good;Amalia Ulman;U.S.A.;;Espagnol;0.0;0.0;0.0;79;16;novembre;2022;0;0
Emma Bovary;Drame;Historique;Didier Bivel;Camille Metayer;Thierry Godard;Laurent Stocker;;good;Natalie Carter;France;France 2;Français;0.0;0.0;0.0;90;13;décembre;2021;0;0
Embuscade;Action;Thriller;Pierre Morel;Marwan Abdullah;Mohamed Ahmed;Omar Bin Haider;;soso;Brandon Birtell;Emirats Arabes Unis;;Arabe;0.0;0.0;0.0;101;11;août;2022;0;0
Emmène-moi voir la mer;Drame;Romance;Marco Antonio Núñez;Ana Burgos;Álvaro Ceballos;Anita Reeves;;soso;;Chili;;Espagnol;0.0;0.0;0.0;78;16;juin;2022;0;0
Employé / patron;Drame;Thriller;Manuel Nieto Zas;Nahuel Perez Biscayart;Cristian Borges;Justina Bustos;3,3;good;Manuel Nieto Zas;Uruguay;Eurozoom;Espagnol;0.0;3.0;0.0;106;6;avril;2022;0;0
En Attendant Bojangles;Comédie;Comédie dramatique;Regis Roinsard;Virginie Efira;Romain Duris;Grégory Gadebois;2,9;good;Romain Compingt;France;StudioCanal;Français;4.0;2.0;6.0;125;5;janvier;2022;1;0
En attendant un miracle;Policier;;Thierry Binisti;Anne Charrier;Frédéric Diefenthal;Cyril Lecomte;;soso;Nathalie Abdelnour;France;France 3;Français;2.0;0.0;1.0;90;18;décembre;2021;0;0
En Passant Pécho;Action;Comédie;Julien Royal;Hedi Bouchenafa;Nassim Lyes;Fred Testot;3,3;bad;Nassim Lyes;France;Netflix France;Français;0.0;0.0;0.0;99;12;février;2021;0;0
En route pour l'avenir;Drame;Romance;Sofia Alvarez (II);Emma Pasarow;Andie MacDowell;Dermot Mulroney;;soso;Sofia Alvarez (II);U.S.A.;;Anglais;0.0;0.0;3.0;106;6;mai;2022;0;0
Encanto, la fantastique famille Madrigal;Animation;Comédie;Charise Castro Smith;Camille Timmerman;Stephanie Beatriz;José Garcia;3,7;good;Jared Bush;U.S.A.;The Walt Disney Company France;Anglais;0.0;0.0;0.0;103;24;novembre;2021;7;0
Encore Noël ?!;Aventure;Comédie;Andy Fickman;Scarlett Estevez;Ashlyn Jade Lopez;Daniel Sunjata;;good;Doan La;U.S.A.;Disney Channel France;Anglais;1.0;0.0;0.0;90;18;novembre;2021;0;0
Encore plus beau;Drame;Romance;Claudio Norza;Ludovica Francesconi;Giancarlo Commare;Désirée Giorgetti;;soso;Roberto Proia;Italie;;Italien;0.0;0.0;0.0;100;10;décembre;2021;0;0
Encounter;Science Fiction;Thriller;Michael Pearce (II);Riz Ahmed;Octavia Spencer;Janina Gavankar;;soso;Michael Pearce (II);Grande-Bretagne;;Anglais;1.0;1.0;5.0;108;10;décembre;2021;0;0
Enemy;Action;Drame;Anand Shankar;Vishal;Arya;;;soso;Anand Shankar;Inde;Friday Entertainment;Tamoul;0.0;0.0;0.0;159;4;novembre;2021;0;0
Ensorcelée par Noël;Romance;;Graeme Campbell;Erika Prevost;Romaine Waite;Zoe Doyle;;soso;John Dion;U.S.A.;TF1;Anglais;0.0;0.0;0.0;90;9;novembre;2022;0;0
Entre ciel et terre;Drame;;Michał Kondrat;Malgorzata Kozuchowska;Kamila Kaminska;Philippe Tlokinski;;soso;Michał Kondrat;Pologne;Saje Distribution;Polonais;0.0;0.0;0.0;96;2;novembre;2022;0;0
Entre la vie et la mort;Drame;Thriller;Giordano Gederlini;Antonio de la Torre;Marine Vacth;Olivier Gourmet;3,0;good;Giordano Gederlini;Belgique;Le Pacte;Français;1.0;3.0;1.0;105;29;juin;2022;7;0
Escape From Mogadishu;Action;Drame;Seung-wan Ryoo;Yun-seok Kim;In-Sung Jo;Joon-ho Huh;;soso;Ki-cheol Lee;Corée du Sud;;Coréen;1.0;0.0;0.0;121;28;juillet;2022;1;0
Escape Game 2 - Le Monde est un piège;Epouvante-horreur;Thriller;Adam Robitel;Taylor Russell;Logan Miller;Thomas Cocquerel;2,1;soso;Will Honley;U.S.A.;Sony Pictures Releasing France;Anglais;6.0;0.0;0.0;88;11;août;2021;0;0
Escape the Undertaker;Action;Aventure;Ben Simms;Mark Calaway;Ettore Ewen;Kofi Kingston;;soso;;U.S.A.;;Anglais;0.0;0.0;0.0;31;5;octobre;2021;0;0
Espèces menacées;Action;Thriller;M.J. Bassett;Rebecca Romijn;Philip Winchester;Isabel Bassett;;bad;M.J. Bassett;Kenya;;Anglais;3.0;0.0;0.0;102;3;novembre;2021;0;0
Estación catorce;Drame;;Diana Cardozo (II);Gael Vazquez;José Antonio Becerril;Yoshira Escárrega;3,0;soso;Diana Cardozo (II);Mexique;Bobine Films;Espagnol;0.0;0.0;0.0;89;9;novembre;2022;0;0
Et doucement rallumer les étoiles;Drame;;Thierry Petit;Cassiopée Mayance;David Mora;Elodie Frenck;;good;Lorène Delannoy;France;France 2;Français;1.0;0.0;0.0;90;29;mars;2023;0;0
Étoiles de cristal;Drame;Thriller;Jota Linares;María Pedraza;Mona Martínez;Marta Hazas;;soso;Jota Linares;Espagne;;Espagnol;0.0;0.0;0.0;137;8;avril;2022;0;0
Evangelion : 3.0+1.0: Thrice Upon A Time;Action;Animation;Hideaki Anno;Megumi Hayashibara;Megumi Ogata;Yûko Miyamura;;good;Hideaki Anno;Japon;;Japonais;1.0;0.0;0.0;154;12;août;2021;0;0
Evolution;Drame;;Kornél Mundruczó;Lili Monori;Annamária Láng;Goya Rego;3,7;good;Kata Wéber;Hongrie;Dulac Distribution;Hongrois;1.0;0.0;0.0;97;18;mai;2022;1;0
Existence;Thriller;;José Dias Mirandela;Manon Dias Mirandela;Sophie Merlin;;;soso;;France;;Français;0.0;0.0;0.0;65;24;septembre;2021;0;0
Fabian ou le chemin de la décadence;Drame;Historique;Dominik Graf;Tom Schilling;Albrecht Schuch;Saskia Rosendahl;;soso;Constantin Lieb;Allemagne;;Allemand;3.0;1.0;1.0;176;31;mars;2023;8;0
Face à la mer;Drame;;Ely Dagher;Manal Issa;Roger Azar;Yara Abou Haidar;3,3;soso;Ely Dagher;Liban;JHR Films / Jour2Fête;Arabe;0.0;1.0;0.0;116;13;avril;2022;3;0
Farha;Drame;;Darin J. Sallam;Karam Taher;Ashraf Barhom;Ali Suliman;;excellent;Darin J. Sallam;Jordanie;;Arabe;0.0;0.0;0.0;92;8;décembre;2022;0;0
Fast & Furious 9;Action;;Justin Lin;Vin Diesel;Michelle Rodriguez;Jordana Brewster;2,7;soso;Daniel Casey;U.S.A.;Universal Pictures International France;Anglais;1.0;2.0;1.0;143;14;juillet;2021;1;0
Fatales;Comédie;Drame;Vojtech Moravec;Hana Vagnerová;Petra Hrebícková;Gabriela Marcinkova;;soso;Sandra Nováková;République tchèque;;Tchèque;0.0;0.0;0.0;95;16;mars;2022;0;0
Fear of Rain;Drame;Thriller;Castille Landon;Katherine Heigl;Madison Iseman;Harry Connick Jr.;;soso;Castille Landon;U.S.A.;;Anglais;0.0;2.0;0.0;109;26;mai;2021;0;0
Fear Street - Partie 1 : 1994;Epouvante-horreur;;Leigh Janiak;Maya Hawke (II);Charlene Amoia;David W. Thompson;3,0;soso;Leigh Janiak;U.S.A.;;Anglais;6.0;0.0;0.0;105;2;juillet;2021;0;0
Fear Street - Partie 2 : 1978;Epouvante-horreur;;Leigh Janiak;Gillian Jacobs;Matthew Zuk;Kiana Madeira;2,8;good;Leigh Janiak;U.S.A.;;Anglais;6.0;1.0;0.0;109;9;juillet;2021;0;0
Fear Street - Partie 3 : 1666;Epouvante-horreur;;Leigh Janiak;Kiana Madeira;Elizabeth Scopel;Benjamin Flores Jr.;2,5;good;Phil Graziadei;U.S.A.;;Anglais;6.0;0.0;0.0;114;17;juillet;2021;0;0
Fille de paysan;Drame;;Julie Manoukian;Justine Lacroix;Thierry Godard;Carole Bianic;;good;Monica Rattazzi;France;France 2;Français;0.0;0.0;0.0;90;1;mars;2023;0;0
Fils de plouc;Comédie;;Harpo Guit;Maximilien Delmelle;Harpo Guit;Claire Bodson;;soso;Harpo Guit;Belgique;;Français;0.0;0.0;0.0;70;18;novembre;2021;0;0
Finch;Drame;Science Fiction;Miguel Sapochnik;Tom Hanks;Caleb Landry Jones;Lora Martinez-Cunningham;2,9;good;Ivor Powell;U.S.A.;;Anglais;1.0;10.0;1.0;115;5;novembre;2021;0;0
Finding Ophelia;Fantastique;Epouvante-horreur;Stephen Rutterford;Jimmy Levar;Christina Chu-Ryan;Steve Schaefer;;soso;Stephen Rutterford;U.S.A.;;Anglais;0.0;0.0;0.0;73;23;juin;2021;0;0
Finding You;Drame;Romance;Brian Baugh;Rose Reid;Jedidiah Goodacre;Katherine McNamara;;soso;Brian Baugh;U.S.A.;;Anglais;0.0;0.0;0.0;125;4;octobre;2021;0;0
Fire;Action;;Aleksey Nuzhnyy;Konstantin Khabenskiy;Ivan Yankovskiy;Stasya Miloslavskaya;;soso;Nikolay Kulikov;Russie;;Russe;0.0;0.0;0.0;131;18;février;2022;0;0
Flag Day;Biopic;Drame;Sean Penn;Dylan Penn;Sean Penn;Josh Brolin;2,7;soso;Jez Butterworth;U.S.A.;Le Pacte;Anglais;11.0;0.0;11.0;108;29;septembre;2021;13;0
Flashback;Comédie;;Caroline Vigneaux;Caroline Vigneaux;Sophia Aram;Suzanne Clément;;soso;Caroline Vigneaux;France;;Français;0.0;0.0;0.0;90;11;novembre;2021;0;0
Flora & Ulysse;Aventure;Famille;Lena Khan;Matilda Lawler;Alyson Hannigan;Ben Schwartz;;soso;Brad Copeland;U.S.A.;;Anglais;0.0;0.0;0.0;95;19;février;2021;0;0
Fly;Drame;Musical;Katja von Garnier;Svenja Jung;Ben Wichert;Jasmin Tabatabai;;good;Daphne Ferraro;Allemagne;;Allemand;0.0;0.0;0.0;110;22;juillet;2022;0;0
Forever Rich;Comédie;Drame;Shady El-Hamus;Jonas Smulders;Yootha Wong-Loi-Sing;Hadewych Minis;;soso;Shady El-Hamus;Pays-Bas;;Néerlandais;0.0;0.0;0.0;89;1;octobre;2021;0;0
Fou de toi;Comédie;Romance;Dani de la Orden;Álvaro Cervantes;Susana Abaitua;Luis Zahera;;good;Natalia Durán;Espagne;;Espagnol;0.0;0.0;0.0;102;24;octobre;2022;0;0
Fragile;Comédie;Romance;Emma Benestan;Yasin Houicha;Oulaya Amamra;Raphaël Quenard;3,1;good;Emma Benestan;France;Haut et Court;Français;0.0;0.0;2.0;101;25;août;2021;0;0
France;Comédie;Drame;Bruno Dumont;Léa Seydoux;Benjamin Biolay;Juliane Köhler;3,3;bad;Bruno Dumont;France;ARP Sélection;Français;4.0;5.0;3.0;130;25;août;2021;13;0
Free Guy;Action;Aventure;Shawn Levy;Ryan Reynolds;Jodie Comer;Lil Rel Howery;3,4;good;Matt Lieberman;U.S.A.;The Walt Disney Company France;Anglais;9.0;5.0;1.0;115;11;août;2021;2;0
Freaks Out;Aventure;Drame;Gabriele Mainetti;Claudio Santamaria;Aurora Giovinazzo;Pietro Castellitto;3,6;good;Gabriele Mainetti;Italie;Metropolitan FilmExport;Italien;2.0;1.0;0.0;141;30;mars;2022;3;0
Friends and Strangers;Comédie;Drame;James Vaughan (II);Emma Diaz;Victoria Maxwell (II);Fergus Wilson;;soso;James Vaughan (II);Australie;;Anglais;0.0;0.0;0.0;82;10;novembre;2021;0;0
Friendzone;Comédie;Romance;Charles Van Tieghem;Mickael Lumière;Manon Azem;Fadily Camara;;soso;;France;;Français;0.0;0.0;0.0;88;29;septembre;2021;0;0
Furioza;Action;Policier;Cyprian T. Olencki;Mateusz Banasiuk;Weronika Ksiazkiewicz;Mateusz Damiecki;;soso;Tomasz Klimala;Pologne;;Polonais;0.0;0.0;0.0;139;6;avril;2022;0;0
Gagarine;Drame;;Fanny Liatard;Alséni Bathily;Lyna Khoudri;Jamil McCraven;4,2;good;Fanny Liatard;France;Haut et Court;Français;1.0;0.0;3.0;98;23;juin;2021;8;0
Gaia;Drame;Fantastique;Jaco Bouwer;Monique Rockman;Carel Nel;Alex van Dyk;;soso;;Afrique du Sud;;Anglais;0.0;0.0;0.0;97;13;janvier;2022;0;0
Galatta Kalyanam / Atrangi Re;Comédie;Musical;Aanand L. Rai;Akshay Kumar;V Dhanush;Sara Ali Khan;;soso;Aanand L. Rai;Inde;Night ed films;Tamoul;0.0;0.0;0.0;150;24;décembre;2021;0;0
Genocidium;Drame;Expérimental;Alexandre David Lejuez;Eva Langlet;Alexandre David Lejuez;;;bad;Alexandre David Lejuez;France;SOFA VOD;Français;0.0;0.0;0.0;70;26;octobre;2022;0;0
Geez & Ann;Drame;Romance;Rizki Balki;Junior Roberts;Hanggini;Roy Sungkono;;soso;Cassandra Massardi;Indonésie;;Indonésien;0.0;0.0;0.0;105;3;septembre;2021;0;0
Ghodwa;Drame;;Dhaffer L'Abidine;Dhaffer L'Abidine;Ahmed Berrhouma;Najla Ben Abdallah;;good;;Tunisie;;Arabe;0.0;0.0;0.0;96;19;janvier;2023;0;0
Ghost Lab;Fantastique;Thriller;Paween Purijitpanya;Thanapob Leeratanakajorn;Paris Intarakomalyasut;Nuttanicha Dungwattanawanich;;soso;Vasudhorn Piyaromna;Thaïlande;;Thaï;0.0;0.0;0.0;117;27;mai;2021;0;0
Girl Bird;Drame;;François Mouillard;Maxime Godart;Anthony Delclitte;Pauline Carre;;soso;François Mouillard;France;;Français;0.0;0.0;0.0;54;5;mars;2022;0;0
Good On Paper;Comédie;Romance;Kimmy Gatewood;Iliza Shlesinger;Ryan Hansen;Margaret Cho;;bad;Iliza Shlesinger;U.S.A.;;Anglais;0.0;0.0;0.0;92;9;septembre;2021;0;0
Goodbye;Drame;Romance;William Nicholson;Annette Bening;Bill Nighy;Josh O'Connor;;good;William Nicholson;Grande-Bretagne;;Anglais;7.0;3.0;3.0;101;16;novembre;2021;1;0
Godzilla vs Kong;Action;Aventure;Adam Wingard;Alexander Skarsgård;Millie Bobby Brown;Rebecca Hall;2,4;soso;Eric Pearson;U.S.A.;;Anglais;1.0;3.0;4.0;114;22;avril;2021;0;0
Gold;Thriller;;Anthony Hayes;Zac Efron;Anthony Hayes;Susie Porter;;bad;Anthony Hayes;Australie;;Anglais;0.0;2.0;0.0;99;8;mai;2022;0;0
Goliath;Thriller;;Frédéric Tellier;Gilles Lellouche;Pierre Niney;Emmanuelle Bercot;3,6;good;Frédéric Tellier;France;StudioCanal;Français;1.0;2.0;5.0;122;9;mars;2022;0;0
Graine de romance;Comédie;Romance;Robert Lieberman;Erin Cahill;Marcus Rosner;Colleen Wheeler;;soso;;Canada;;Anglais;1.0;0.0;0.0;90;24;juin;2021;0;0
Great Freedom;Drame;;Sebastian Meise;Franz Rogowski;Georg Friedrich;Anton von Lucke;3,5;good;Thomas Reider;Autriche;Paname Distribution;Allemand;0.0;0.0;1.0;116;9;février;2022;9;0
Great White;Epouvante-horreur;Thriller;Martin Wilson;Katrina Bowden;Aaron Jakubenko;Te Kohe Tuhaka;;bad;Michael Boughen;U.S.A.;Wild Side;Anglais;0.0;0.0;0.0;90;3;juin;2021;0;0
Guermantes;Comédie;;Christophe Honoré;Claude Mathieu;Anne Kessler;Eric Genovese;3,4;soso;Christophe Honoré;France;Memento Distribution;Français;53.0;0.0;0.0;139;29;septembre;2021;1;0
Habit;Comédie;Drame;Janell Shirtcliff;Bella Thorne;Andreja Pejić;Gavin Rossdale;;bad;Libby Mintz;U.S.A.;;Anglais;0.0;0.0;0.0;80;16;février;2022;0;0
Halloween Kills;Epouvante-horreur;;David Gordon Green;Jamie Lee Curtis;Judy Greer;Andi Matichak;2,2;soso;Scott Teems;U.S.A.;Universal Pictures International France;Anglais;2.0;2.0;0.0;106;20;octobre;2021;1;0
Handigang;Drame;;Stéphanie Pillonca;Alessandra Sublet;Théo Curin;Bruno Wolkowitch;;good;Marine Gacem;France;TF1;Français;0.0;0.0;0.0;90;2;mai;2022;0;0
Hannes;Drame;;Hans Steinbichler;Leonard Scheicher;Johannes Nussbaum;Hannelore Elsner;;soso;;Allemagne;;Allemand;1.0;1.0;0.0;91;9;février;2022;0;0
Hansel et Gretel, agents secrets;Aventure;Animation;Aleksey Tsitsilin;Alyson Leigh Rosenfeld;Courtney Shaw;;;good;Analisa LaBianco;Russie;;Anglais;1.0;0.0;0.0;103;23;septembre;2021;0;0
Happier Than Ever: Lettre d'amour à Los Angeles;Concert;;Robert Rodriguez;Billie Eilish;Finneas O'Connell;Gustavo Dudamel;;good;;U.S.A.;;Anglais;3.0;0.0;0.0;65;3;septembre;2021;0;0
Happily;Comédie;Romance;BenDavid Grabinski;Kerry Bishe;Joel McHale;Al Madrigal;;bad;BenDavid Grabinski;U.S.A.;;Anglais;0.0;0.0;3.0;96;10;février;2022;0;0
Harcelés;Drame;Thriller;Olivier Barma;Claire Keim;Bruno Salomone;Carole Weyers;;good;Germinal Alvarez;France;6ter;Français;0.0;0.0;0.0;90;26;mai;2021;0;0
Harry & Meghan : désillusion au palais;Biopic;Drame;Menhaj Huda;Jordan Dean;Sydney Morton;Keegan Connor Tracy;;soso;Scarlett Lacey;U.S.A.;;Anglais;3.0;0.0;0.0;90;2;juin;2022;0;0
