Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
#No_Filter;5 mai 2023; 1h 27min ;Epouvante-horreur;Thriller;NA;Michael Dupret;NA;Hannah McIver;Jasmine Daoud;Samuel Van der Zwalmen;NA;1,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=305386.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=967012.html;NA;Belgique;NA;NA;0;-;Anglais;NA;NA;NA;NA
10;22 décembre 2022; 2h 04min ;Drame;NA;NA;Karm Chawla;NA;Vinay Rajkumar;Anusha Ranganath;Gopal Krishna Deshpande;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=311621.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=982514.html;NA;Inde;NA;NA;0;-;-;NA;NA;NA;NA
13 : La comédie musicale;12 août 2022; 1h 34min ;Drame;Famille;Comédie musicale;Tamra Davis;NA;Eli Golden;Josh Peck;Debra Messing;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=292534.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=28475.html;Robert Horn;U.S.A.;NA;NA;0;-;Anglais;NA;1;NA;0
13 Minutes;23 mars 2022; Policier, Thriller;Policier;Thriller;NA;NA;NA;Jimmy Waitman;NA;NA;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=249286.html;NA;NA;U.S.A.;NA;NA;0;-;Anglais;NA;NA;0;0
16 ans;4 janvier 2023; 1h 34min ;Drame;Romance;NA;Philippe Lioret;NA;Sabrina Levoye;Teïlo Azaïs;Jean-Pierre Lorit;3,2;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=285887.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=17724.html;Philippe Lioret;France;NA;Paname Distribution;1           ;-;Français;63 528 entrées;4;NA;0
1UP;15 juillet 2022; 1h 40min ;Comédie;NA;NA;Kyle Newman;NA;Paris Berelc;Taylor Zakhar Perez;Ruby Rose;NA;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=287646.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=142983.html;Julia Yorks;Canada;NA;NA;0;-;Anglais;NA;0;0;0
20th Century Girl;octobre 2022; 1h 59min ;Drame;Romance;NA;Woo-ri Bang;NA;Yoo-jeong Kim;Hyo-ju Han;Woo-Seok Byeon;NA;3,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=300469.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=955333.html;Woo-ri Bang;Corée du Sud;NA;NA;0;-;Coréen;NA;NA;0;NA
365 jours : Au lendemain;27 avril 2022; 1h 46min ;Drame;Erotique;Romance;Barbara Bialowas;Tomasz Mandes;Michele Morrone;Anna-Maria Sieklucka;Simone Susinna;NA;1,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=281810.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=899269.html;Tomasz Mandes;Pologne;NA;NA;2            ;-;Anglais, Italien, Polonais;NA;NA;NA;NA
365 Jours : L'Année d'Après;19 août 2022; 1h 52min ;Drame;Erotique;Romance;Barbara Bialowas;Tomasz Mandes;Michele Morrone;Anna-Maria Sieklucka;Simone Susinna;NA;1,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=284065.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=899269.html;Tomasz Mandes;Pologne;NA;NA;2            ;-;Polonais;NA;NA;NA;NA
47 Ronin - Le Sabre de la Vengeance;25 janvier 2023; 1h 46min ;Action;Fantastique;Thriller;Ron Yuan;NA;Anna Akana;Mark Dacascos;Teresa Ting;NA;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=285827.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=115223.html;John Swetnam;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
99 Moons;10 mai 2023; 1h 51min ;Drame;Romance;NA;Jan Gassmann;NA;Valentina Di Pace;Dominik Fellmann;Danny Exnar;2,6;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=299031.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=215014.html;Jan Gassmann;Suisse;NA;La Vingt-Cinquième Heure;1           ;-;Suisse allemand;1 307 entrées;3;NA;NA
À chacun son secret;1 décembre 2022; 1h 30min ;Policier;NA;NA;Francis Meletzky;NA;Franziska Hartmann;Stephan Szasz;Hanife Sylejmani;NA;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=309992.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=213129.html;Elke Rössler;Allemagne;NA;Arte;0;-;Allemand;NA;0;NA;0
A Day to Die;22 juin 2022; 1h 45min ;Action;Thriller;NA;Wes Miller;NA;Kevin Dillon;Bruce Willis;Gianni Capaldi;NA;1,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=293782.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=663043.html;Scott Mallace;U.S.A.;NA;NA;0;-;Anglais;NA;NA;6;1
A E I O U - L'alphabet rapide de l'amour;21 décembre 2022; 1h 44min ;Comédie;Romance;NA;Nicolette Krebitz;NA;Sophie Rois;Udo Kier;Milan Herms;2,3;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=293590.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=28469.html;Nicolette Krebitz;Allemagne;France;Shellac;9            ;-;Allemand, Français;424 entrées;0;1;1
