Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Les Battantes;30 novembre 2022; 1h 15min ;Drame;NA;NA;Astar Elkayam;NA;Agam Schuster;Mor Polanuer;Naama Preis;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=297413.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=947159.html;Astar Elkayam;Israël;NA;NA;0;-;Hebreu;NA;NA;NA;NA
Les Bodin's en Thaïlande;17 novembre 2021; 1h 38min ;Aventure;Comédie;NA;Frédéric Forestier;NA;Vincent Dubois;Jean-Christian Fraiscinet;Bella Boonsang;2,2;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=289301.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=56858.html;NA;France;NA;SND;0;-;Français;1 638 574 entrées;2;0;0
Les Choses humaines;1 décembre 2021; 2h 19min ;Drame;Judiciaire;NA;Yvan Attal;NA;Charlotte Gainsbourg;Mathieu Kassovitz;Pierre Arditi;3,1;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=285799.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3126.html;Yaël Langmann;France;NA;Gaumont Distribution;3            ;-;Français;181 793 entrées;3;4;11
Les Choses qui nous échappent;2 novembre 2022; 1h 21min ;Comédie dramatique;NA;NA;Patrick Milani;NA;Eden Lopez;Gabrielle Brown;François Peru;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=309151.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=723611.html;NA;France;NA;NA;0;-;Français;NA;0;NA;NA
Les Délices de l'amour;4 mars 2021; 1h 29min ;Romance;NA;NA;Don McBrearty;NA;Rachel Bles;Stephen Huszar;Ron Lea;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=290248.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=183613.html;Farhad Mann;U.S.A.;NA;NA;0;-;Anglais;NA;0;NA;0
Les Enfants Des Justes;28 mai 2010; 1h 30min ;Drame;Historique;NA;Fabien Onteniente;NA;Mathilde Seigner;Gérard Lanvin;Philippe Torreton;3,3;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=288798.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=2169.html;Fabien Onteniente;France;NA;France 2;0;-;Français;NA;1;2;4
Les Enquêtes du département V : L'Effet Papillon;26 mai 2022; 2h 05min ;Thriller;NA;NA;Martin Zandvliet;NA;Ulrich Thomsen;Zaki Youssef;Sofie Torp;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=281000.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=408425.html;Anders Frithiof August;Danemark;République tchèque;Wild Side;0;7.4 M€;Danois;NA;1;0;NA
Les Espaces sauvages;16 mars 2023; Drame, Romance;Drame;Romance;NA;Emma Catalfamo;NA;Harrison Browne;Cameron Stewart (II);Mikael Melo;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=313223.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=986511.html;Sorelle Doucet;Canada;NA;NA;0;-;Anglais;NA;NA;NA;0
Les Eternels;3 novembre 2021; 2h 37min ;Action;Fantastique;Science Fiction;Chloé Zhao;NA;Gemma Chan;Richard Madden;Salma Hayek;2,9;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=136316.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=714671.html;Chloé Zhao;U.S.A.;NA;The Walt Disney Company France;0;-;Anglais;1 703 036 entrées;5;0;2
Les fabuleux miracles de Noël;22 novembre 2022; 1h 24min ;Comédie dramatique;Romance;NA;Heather Hawthorn Doyle;NA;Katherine Barrell;Alberto Frezza;Josh Ssettuba;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=309979.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=762254.html;John Wierick;U.S.A.;Canada;TF1;0;-;Anglais;NA;0;0;0
Les Femmes du pavillon J;11 mai 2022; 1h 37min ;Drame;NA;NA;Mohamed Nadif;NA;Assma El Hadrami;Jalila Talemsi;Imane Elmechrafi;2,4;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=292580.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=134503.html;Mohamed Nadif;Maroc;NA;Les Films des Deux Rives;0;-;Arabe;138 entrées;1;NA;NA
Les Folies fermières;11 mai 2022; 1h 49min ;Comédie;Drame;NA;Jean-Pierre Améris;NA;Alban Ivanov;Sabrina Ouazani;Michèle Bernier;3,3;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=288925.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=16736.html;Jean-Pierre Améris;France;NA;Apollo Films;0;-;Français;164 577 entrées;4;1;3
Les Gagnants;13 avril 2022; 1h 25min ;Comédie;NA;NA;AZ;Laurent Junca;JoeyStarr;AZ;Alban Ivanov;NA;1,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=297021.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=945767.html;AZ;France;NA;ARP Sélection;0;-;Français;46 191 entrées;NA;1;NA
Les gâteaux de noël;2 novembre 2021; 1h 30min ;Comédie;Drame;Romance;Aubrey Arnason;NA;Manoj Sood;Rekha Sharma;Praneet Akilla;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=297864.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=428675.html;Alison Spuck McNeeley;Canada;NA;NA;0;-;Anglais;NA;0;0;0
Les Héritières;4 juin 2021; 1h 20min ;Drame;NA;NA;Nolwenn Lemesle;NA;Tracy Gotoas;Fanta Kebe;Lucie Fagedet;3,8;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=290657.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=146651.html;Johanna Goldschmidt;France;NA;Arte;      ;-;Français;NA;1;0;NA
