Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
The Djinn;Epouvante-horreur;Thriller;David Charbonier;Ezra Dewey;Rob Brownstein;John Ericson;;1.8;David Charbonier;U.S.A.;;Anglais;0.0;0.0;0.0;81;1;avril;2022;bad;0
The Escort;Romance;;Emem Isong;Alexx Ekubo;Monalisa Chinda;Femi Branch;;3.0;;Nigéria;;Anglais;0.0;0.0;0.0;110;9;juin;2022;soso;0
The Execution;Policier;Thriller;Lado Kvataniya;Evgeniy Tkachuk;Yuliya Snigir;Igor Savochkin;;2.6;Lado Kvataniya;Russie;The Jokers / Les Bookmakers;Russe;0.0;0.0;0.0;138;11;avril;2023;soso;6
The Exorcism of God;Epouvante-horreur;;Alejandro Hidalgo;Joseph Marcell;Maria Gabriela de Faría;Irán Castillo;;2.1;Santiago Fernandez Calvete;U.S.A.;;Anglais;0.0;0.0;0.0;98;7;septembre;2022;soso;0
The Fallout;Drame;;Megan Park;Jenna Ortega;Maddie Ziegler;Niles Fitch;;3.7;Megan Park;U.S.A.;;Anglais;0.0;0.0;1.0;92;24;février;2022;good;0
The Feast;Epouvante-horreur;;Lee Haven Jones;Annes Elwy;Nia Roberts;Julian Lewis Jones;;2.3;Roger Ross Williams;Grande-Bretagne;;Anglais;0.0;0.0;0.0;93;22;septembre;2022;soso;0
The French Dispatch;Comédie;Drame;Wes Anderson;Timothée Chalamet;Léa Seydoux;Bill Murray;3.5;3.3;Wes Anderson;U.S.A.;The Walt Disney Company France;Anglais;7.0;8.0;5.0;108;27;octobre;2021;good;17
The Gateway;Drame;Thriller;Michele Civetta;Shea Whigham;Olivia Munn;Zach Avery;;2.3;Alex Felix Bendaña;U.S.A.;;Anglais;0.0;0.0;0.0;91;16;mars;2022;soso;0
The Giants;Drame;;Bonifacio Angius;Stefano Deffenu;Stefano Manca di Villahermosa;Riccardo Bombagi;;2.7;Bonifacio Angius;Italie;;Italien;1.0;0.0;0.0;78;1;décembre;2022;soso;0
The Grand Duke of Corsica;Comédie;Drame;Daniel Graham;Timothy Spall;Peter Stormare;Matt Hookings;;2.8;Daniel Graham;Grande-Bretagne;;Anglais;0.0;2.0;0.0;93;11;septembre;2022;soso;0
