Titre;mois_sortie;annee_sortie;date_sortie;duree_min;genre1;réalisateur_1;actor_1;actor 2;note_spectators;Scer;tiolity 1;nomitions;language;real awards;first actor awards;Second actor awards
Très belle journée;5;2022;6 mai 2022;75;Drame;Patrice Laliberté;Guillaume Laurin;Sarah-Jeanne Labrosse;2,5;Patrice Laliberté;Cada;0;Français;;0;0
Trevor : la comédie musicale;6;2022;24 juin 2022;113;Comédie musicale;Robin Abrams;Holden Hagelberger;Aryan Simhadri;3,3;;U.S.A.;0;Anglais;;;
Trick or Treat Scooby-Doo! et la mission d'Halloween;10;2022;4 octobre 2022;72;Aventure;Audie Harrison;Frank Welker;Grey Griffin;2,5;Audie Harrison;U.S.A.;0;Anglais;;0;0
Trois Mille ans à t’attendre;8;2022;24 août 2022;109;Drame;George Miller;Idris Elba;Tilda Swinton;3,5;George Miller;Australie;1;Anglais;2;4;5
Trois nuits par semaine;11;2022;9 novembre 2022;103;Comédie;Florent Gouëlou;Pablo Pauly;Romain Eck;3,7;Florent Gouëlou;France;;Français;0;2;
Troll;12;2022;1 décembre 2022;101;Action;Roar Uthaug;Ine Marie Wilmann;Kim S. Falck-Jørgensen;2,3;Espen Aukan;U.S.A.;0;Norvégien;2;;0
Tu choisiras la vie;1;2023;25 janvier 2023;99;Drame;Stéphane Freiss;Lou de Laâge;Riccardo Scamarcio;3,6;Stéphane Freiss;France;1;Français, Italien;3;1;0
Tuer pour Survivre;2;2023;16 février 2023;96;Drame;Derek Presley;Neal McDonough;Tommy Flagan;2,8;Derek Presley;U.S.A.;0;Anglais;;1;0
Turtles All The Way Down;5;2023;26 mai 2023;;Drame;Hanh Marks;Isabela Merced;Judy Reyes;;Elizabeth Berger;U.S.A.;0;Anglais;0;0;0
Tyson’s Run;6;2013;1 juin 2013;102;Comédie dramatique;Kim Bass;Major Dodson;Rory Cochrane;;Kim Bass;U.S.A.;0;Anglais;0;;0
U Turn;12;2022;3 décembre 2022;85;Comédie;Gabriel Afolayan;Gabriel Afolayan;Ebun Oloyede;;;Nigéria;0;Anglais;;;
Ubeur;11;2022;23 novembre 2022;75;Drame;El Driss;El Driss;Lydie Misiek;2,8;;France;0;Français;0;0;
UFO;2;2022;23 février 2022;109;Drame;Onur Bilgetay;İpek Filiz Yazıcı;Mert Ramazan Demir;2,2;;Turquie;0;Turc;;;
UFO Sweden;5;2023;25 mai 2023;115;Action;Victor Danell;Jesper Barkselius;Eva Melander;2,9;Victor Danell;Suède;0;Suédois;;0;1
Umma;7;2022;18 juillet 2022;83;Epouvante-horreur;Iris Shim;Sandra Oh;Fivel Stewart;1,8;Iris Shim;U.S.A.;0;Anglais;0;5;0
Un accord parfait;5;2022;19 mai 2022;101;Comédie;Stuart McDold;Victoria Justice;Adam Demos;2,8;Elizabeth Hackett;Australie;0;Anglais;0;0;0
Un alibi;11;2022;2 novembre 2022;90;Drame;Orso Miret;Pascal Demolon;Annelise Hesme;3,1;Emmanuel Mauro;France;0;Français;1;0;0
Un amour hors du temps;2;2023;13 février 2023;84;Drame;Jessica Harmon;Torrey DeVitto;Niall Matter;3,3;C. Jay Cox;U.S.A.;0;Anglais;0;0;0
Un an, une nuit;5;2023;3 mai 2023;130;Drame;Isaki Lacuesta;Noémie Merlant;huel Perez Biscayart;3,1;Isa Campo;Espagne;9;Espagnol, Français;3;1;3
Un bal pour Harvard;3;2023;31 mars 2023;99;Comédie;Anya Adams;Wendi McLendon-Covey;Jason Sakaki;2,4;Anthony Lombardo;U.S.A.;0;Anglais;0;0;
Un beau matin;10;2022;5 octobre 2022;114;Drame;Mia Hansen-Løve;Léa Seydoux;Pascal Greggory;3,4;Mia Hansen-Løve;France;11;Français;5;5;4
Un couple;10;2022;19 octobre 2022;63;Drame;Frederick Wiseman;thalie Boutefeu;;2,7;thalie Boutefeu;France;4;Français;1;1;0
Un été comme ça;7;2022;27 juillet 2022;137;Drame;Denis Côté;Larissa Corriveau;Aude Mathieu;2,4;Denis Côté;Cada;9;Français;2;;
Un été stupéfiant;8;2022;4 août 2022;88;Comédie;Marc Schlegel;Jakob Schmidt (II);Emma Mathilde Floßmann;3;Roland Hablesreiter;Allemagne;0;Allemand;0;;
Un hérisson dans la neige;11;2022;9 novembre 2022;39;Animation;Pascale Hecquet;Lucien Volsy-Roussel;Arud Demuynck;3,2;Arud Demuynck;France;0;Français;1;;2
Un homme d'action;11;2022;30 novembre 2022;111;Biopic;Javier Ruiz Caldera;Juan José Ballesta;Luis Callejo;3;Patxi Amezcua;Espagne;0;Espagnol;0;0;0
Un Noël Pas Si Joyeux;12;2022;20 décembre 2022;100;Comédie;Mark Alazraki;Mauricio Ochmann;A Brenda Contreras;1,9;Mark Alazraki;Mexique;0;Espagnol;0;0;
Un petit frère;2;2023;1 février 2023;116;Drame;Léonor Serraille;Anbelle Lengronne;Stéphane Bak;3,6;Léonor Serraille;France;27;Français;;0;0
Un petit Miracle;1;2023;25 janvier 2023;92;Comédie;Sophie Boudre;Alice Pol;Jothan Zaccaï;3,4;Sarah Kaminsky;France;1;Français;0;1;2
Un sapin pour deux;10;2022;28 octobre 2022;82;Romance;John Burd;Samantha Cope;Ross Jirgl;3,1;;U.S.A.;0;Anglais;;0;
Un talent en or massif;4;2022;20 avril 2022;108;Action;Tom Gormican;Nicolas Cage;Pedro Pascal;3,1;Tom Gormican;U.S.A.;0;Anglais;0;3;0
Un Varón;3;2023;15 mars 2023;82;Drame;Fabián Hernández;Felipe Ramirez;Juanita Carrillo Orti;3,4;Fabián Hernández;Colombie;4;Espagnol;;;
U boccata d'aria;10;2022;24 octobre 2022;90;Comédie dramatique;Alessio Lauria;Aldo Baglio;Lucia Ocone;3;Alessio Lauria;Italie;0;Italien;;0;0
Uncharted;2;2022;16 février 2022;116;Action;Ruben Fleischer;Tom Holland;Mark Wahlberg;3,3;Rafe Judkins;U.S.A.;0;Anglais;0;1;11
Une amie au poil;3;2022;17 mars 2022;90;Biopic;Katt Shea;Grant Gustin;Scott Wolf;3,7;Karen Janszen;U.S.A.;0;Anglais;0;0;0
Une ardente patience;12;2022;7 décembre 2022;90;Drame;Rodrigo Sepúlveda;Andrew Bargsted;Claudio Arredondo;2,4;Guillermo Calderón;Chili;0;Espagnol;;0;
Une belle course;9;2022;21 septembre 2022;91;Comédie dramatique;Christian Carion;Line Reud;Dany Boon;3,9;Cyril Gely;France;1;Français;9;4;8
Une comédie romantique;11;2022;16 novembre 2022;98;Comédie;Thibault Segouin;Alex Lutz;Golshifteh Farahani;2,9;Thibault Segouin;France;12;Français;;2;1
Une étoile à la fois;10;2022;5 octobre 2022;88;Comédie;Andrea Jublin;Federica Torchetti;Cristiano Caccamo;2,1;Alice Urciuolo;Italie;0;Italien;0;;
Une femme de notre temps;10;2022;5 octobre 2022;96;Drame;Jean Paul Civeyrac;Sophie Marceau;Johan Heldenbergh;1,8;Jean Paul Civeyrac;France;1;Français;7;3;1
Une femme indonésienne;12;2022;21 décembre 2022;103;Drame;Kamila Andini;Happy Salma;Rieke Diah Pitaloka;3;Kamila Andini;Indonésie;19;Indonésien;1;;
Une Nuit à la Maternelle;12;2022;28 décembre 2022;96;Comédie;Rafał Skalski;Piotr Witkowski;Le Gora;2,3;Marek Baranowski;Pologne;0;Polois;;;
Une obsession venue d'ailleurs;2;2023;11 février 2023;84;Drame;Dan Berk;Maika Monroe;Jake Lacy;2,1;Dan Berk;U.S.A.;0;Anglais;0;0;0
Une Vie ou l'Autre;8;2022;17 août 2022;110;Comédie;Wanuri Kahiu;Lili Reinhart;Danny Ramirez;3;April Prosser;U.S.A.;0;Anglais;0;0;0
Unhuman;9;2022;8 septembre 2022;87;Comédie;Marcus Dunstan;Drew Scheid;Brianne Tju;1,7;Marcus Dunstan;U.S.A.;0;Anglais;0;0;0
Unicorn Wars;12;2022;28 décembre 2022;92;Aventure;Alberto Vázquez (II);Ramon Barea;;3,5;Alberto Vázquez (II);Espagne;1;Espagnol;1;0;0
Upstate;7;1905;2022;;Comédie;;Ryan Reynolds;;;;U.S.A.;0;Anglais;;5;0
Urvasivo Rakshasivo;1;2023;17 janvier 2023;144;Drame;Rakesh Sashi;Anu Emmanuel;Allu Sirish;;Rakesh Sashi;Inde;0;-;;;
Utolér;10;2022;24 octobre 2022;107;Drame;Zsombor Dyga;Eszter Ónodi;Kata Bartsch;;;Grande-Bretagne;0;Anglais;;0;0
Vacances;9;2022;28 septembre 2022;105;Thriller;Béatrice de Staël;Géraldine kache;Andranic Manet;2,3;Béatrice de Staël;France;1;Français;0;2;1
Vadh;2;2023;15 février 2023;110;Drame;Jaspal Singh Sandhu;Sanjay Mishra;Nee Gupta;;;Inde;0;Hindi;;0;0
Vaincre ou mourir;1;2023;25 janvier 2023;100;Action;Vincent Mottez;Hugo Becker;Rod Paradot;3,9;Vincent Mottez;France;0;Français;;0;2
Valley of a Thousand Hills;11;2022;28 novembre 2022;98;Drame;Bonie Sithebe;Sibongokuhle Nkosi;Mandisa Vilakazi;;;Afrique du Sud;0;Zulu;;;
Valimai;2;2022;24 février 2022;178;Action;H. Vinoth;Ajith Kumar;Huma Qureshi;3,4;;Inde;0;Tamoul;;0;0
Vendetta;5;2023;3 mai 2023;96;Action;Jared Cohn;Bruce Willis;Clive Standen;2;Jared Cohn;U.S.A.;0;Anglais;0;1;0
Vendhu Thanindhathu Kaadu;9;2022;15 septembre 2022;165;Action;Gautham Vasudev Menon;Silambarasan Rajendar;Siddhi Idni;3,1;Jayamohan;Inde;0;Tamoul;;0;
Venez voir;1;2023;4 janvier 2023;64;Comédie dramatique;Jonás Trueba;Itsaso Ara;Francesco Carril;2,8;Jonás Trueba;Espagne;0;Espagnol, Français;4;0;0
Vengeance;3;2023;29 mars 2023;109;Thriller;B.J. Novak;B.J. Novak;Boyd Holbrook;2,8;B.J. Novak;U.S.A.;0;Anglais;2;2;0
Vengeance aux poings;2;2022;17 février 2022;96;Action;Roel Reiné;Iko Uwais;Lewis Tan;1,6;Cameron Litvack;U.S.A.;0;Anglais, Mandarin;0;0;0
Veeramae Vaagai Soodum;2;2022;4 février 2022;165;Action;Thu Pa Saravan;Vishal;Dimple Hayathi;3,1;;Inde;0;Tamoul;;;
Vers de nouveaux horizons;4;2023;27 avril 2023;88;Policier;Nikolaus Leytner;Maria Hofstätter;Leord Stirsky Hädler;2,6;Nikolaus Leytner;Autriche;0;Allemand;0;0;
Vesper Chronicles;8;2022;17 août 2022;114;Aventure;Kristi Buozyte;Raffiella Chapman;Eddie Marsan;2,9;Kristi Buozyte;Lituanie;0;Anglais;1;0;1
Veetla Vishesham;6;2022;17 juin 2022;129;Comédie;RJ Balaji;RJ Balaji;Sathyaraj;3,5;RJ Balaji;Inde;0;Tamoul;;;0
Veyil;4;2022;14 avril 2022;157;Thriller;Sarath Menon;Shane Nigaam;Suraaj Venjarammoodu;;;Inde;0;-;;;
Vikram;6;2022;3 juin 2022;173;Action;Lokesh Kagaraj;Kamal Haasan;Fahadh Faasil;3,7;Lokesh Kagaraj;Inde;0;Tamoul, Hindi;;0;
Vikram Vedha;9;2022;30 septembre 2022;158;Action;Gayatri;Hrithik Roshan;Saif Ali Khan;3,3;Gayatri;Inde;0;Hindi;0;1;0
Violence Action;11;2022;18 novembre 2022;111;Action;Tôichirô Rutô;Kan Hashimoto;Fumika Baba;2,1;Tôichirô Rutô;Japon;0;Japois;;0;
Violent Night;11;2022;30 novembre 2022;112;Action;Tommy Wirkola;David Harbour;John Leguizamo;3,3;Patrick Casey;U.S.A.;0;Anglais;2;5;4
Virata Parvam;11;2022;10 novembre 2022;150;Action;;Sai Pallavi;Ra Daggubati;;;Inde;0;Autre;;0;0
Viruman;8;2022;11 août 2022;122;Action;M. Muthaiah;Karthi;Aditi Shankar;3,3;M. Muthaiah;Inde;0;Tamoul;0;0;
Virus-32;7;2022;12 juillet 2022;90;Epouvante-horreur;Gustavo Herndez;Daniel Hendler;Paula Silva;2,2;Juma Fodde;Uruguay;0;Espagnol;11;2;
Vittorio De Seta : le Monde perdu;6;2022;22 juin 2022;120;Drame;Vittorio De Seta;;;3,1;;Italie;0;Italien;1;0;0
Vive le vent d'hiver;11;2022;23 novembre 2022;35;Animation;Milen Vitanov;;;2,8;;Allemagne;0;Français;0;0;0
Vivre;12;2022;28 décembre 2022;103;Drame;Oliver Hermanus;Bill Nighy;Aimee Lou Wood;3,7;Kazuo Ishiguro;Grande-Bretagne;7;Anglais;10;3;
Vous n'aurez pas ma haine;11;2022;2 novembre 2022;103;Drame;Kilian Riedhof;Pierre Deladonchamps;Zoé Iorio;1,6;Jan Braren;Allemagne;0;Français;;2;
Vous pouvez assassiner la mariée;5;2022;31 mai 2022;90;Drame;Michael Feifer;Erin Pineda;Ashlee Füss;;Michael Perronne;U.S.A.;0;Anglais;0;0;0
Voyages en Italie;3;2023;29 mars 2023;91;Comédie;Sophie Letourneur;Philippe Katerine;Sophie Letourneur;2,6;Sophie Letourneur;France;0;Français;15;3;15
Waldo, détective privé;2;2022;17 février 2022;111;Action;Tim Kirkby;Charlie Hunm;Mel Gibson;2,5;Howard Gould;U.S.A.;0;Anglais;0;1;5
War Pony;5;2023;10 mai 2023;114;Drame;Gi Gammell;Stanley Good Voice Elk;Jojo Bapteise Whiting;3,7;Franklin Sioux Bob;U.S.A.;310;Anglais, Autre;;;
Warriors of Future;12;2022;2 décembre 2022;112;Action;Yuen Fai Ng;Louis Koo;Ching Wan Lau;2,3;Chi-Leung Law;Hong-Kong;0;Cantois, Mandarin;;0;0
Watcher;4;2023;12 avril 2023;96;Drame;Chloe Okuno;Maika Monroe;Karl Glusman;2,9;Zack Ford;U.S.A.;110;Anglais, Roumain;;0;0
Wedding Season;8;2022;4 août 2022;98;Comédie;Tom Dey;Pallavi Sharda;Suraj Sharma;2,9;Shiwani Srivastava;U.S.A.;0;Anglais;0;0;1
Wendell et Wild;10;2022;28 octobre 2022;105;Aventure;Henry Selick;Keegan-Michael Key;Jordan Peele;3,2;Henry Selick;U.S.A.;0;Anglais;1;2;1
Werewolf By Night;10;2022;7 octobre 2022;60;Action;Michael Giacchino;Gael García Berl;Laura Donnelly;3,3;Peter Cameron (VII);U.S.A.;0;Anglais;5;3;0
Whatever It Takes;3;2023;9 mars 2023;90;Action;Rolie Nikiwe;Dineo Nchabeleng;Barbra Wedi;;;Afrique du Sud;0;Anglais;;;
White Elephant;2;2023;22 février 2023;96;Action;Jesse V. Johnson;Bruce Willis;Lorenzo Antonucci;1,7;Jesse V. Johnson;U.S.A.;0;Anglais;0;1;0
White Noise;12;2022;30 décembre 2022;136;Comédie;Noah Baumbach;Adam Driver;Greta Gerwig;2,3;Noah Baumbach;U.S.A.;6;Anglais;21;1;9
Whitney Houston : I Wan Dance With Somebody;12;2022;21 décembre 2022;146;Biopic;Kasi Lemmons;omi Ackie;Stanley Tucci;3,5;Anthony McCarten;U.S.A.;0;Anglais;0;0;4
Wire Room;5;2023;2 mai 2023;101;Action;Matt Eskandari;Kevin Dillon;Bruce Willis;1,9;Brandon Stiefer;U.S.A.;0;Anglais;0;6;1
Wolf Hound;11;2022;16 novembre 2022;135;Action;Michael B. Chait;James Maslow;Trevor Donovan;1,6;Timothy Ritchey;U.S.A.;0;Anglais;;0;0
Women Talking;3;2023;8 mars 2023;104;Drame;Sarah Polley;Rooney Mara;Claire Foy;3,4;Sarah Polley;U.S.A.;13;Anglais;11;1;5
Working Class Heroes;12;2022;1 décembre 2022;85;Drame;Miloš Pušić;Boris Isaković;;2,7;Miloš Pušić;Serbie;1;Serbe;;0;0
Wrong Place;1;2023;6 janvier 2023;96;Action;Mike Burns;Bruce Willis;Ashley Greene Khoury;1,6;;U.S.A.;0;Anglais;0;1;1
X;11;2022;2 novembre 2022;105;Epouvante-horreur;Ti West;Mia Goth;Jen Ortega;3;Ti West;U.S.A.;1;Anglais;1;0;0
Yaksha, un démon en mission;4;2022;8 avril 2022;125;Action; Hyun;Sul Kyung-gu;Park Hae-Soo;3,1; Hyun;Corée du Sud;0;Coréen;0;0;
Yaai;6;2022;17 juin 2022;160;Action;Hari;Arun Vijay;Priya Bhavani Shankar;3,1;Hari;Inde;0;Tamoul;0;0;
Yaar Mera Titliaan Warga;9;2022;29 septembre 2022;;Divers;;;;;;Inde;0;-;;0;0
Yashoda;11;2022;11 novembre 2022;150;Action;Haresh rayan;Samantha Ruth Prabhu;Varalaxmi Sarathkumar;3,1;Haresh rayan;Inde;0;Hindi, Tamoul, Autre;;0;0
You Won’t Be Alone;12;2022;1 décembre 2022;108;Drame;Goran Stolevski;Noomi Rapace;Alice Englert;2,3;Goran Stolevski;Australie;0;Anglais;;2;0
Your Christmas or Mine?;12;2022;2 décembre 2022;95;Comédie;Jim O'Hanlon;Asa Butterfield;Daniel Mays;2,7;Tom Parry;Grande-Bretagne;0;Anglais;0;0;0
Youssef Salem a du succès;1;2023;18 janvier 2023;97;Comédie;Baya Kasmi;Ramzy Bedia;Noémie Lvovsky;3,6;Baya Kasmi;France;1;Français;2;1;4
Yuku et la fleur de l’Himalaya;10;2022;19 octobre 2022;65;Animation;Arud Demuynck;Lily Demuynck-Deydier;Agnès Jaoui;3,8;Arud Demuynck;Belgique;0;Français;2;;11
Zalava;9;2022;7 septembre 2022;93;Drame;Arsalan Amiri;Pouria Rahimi;Baset Rezaei;3,2;Arsalan Amiri;Iran;0;Farsi, Kurde;;;
Zoé + Juju;9;2022;2 septembre 2022;56;Aventure;Elissa Down;Madison Skye Validum;Keslee Blalock;2,7;Kathy Waugh;U.S.A.;0;Anglais;1;;
;#VALEUR!;#VALEUR!;;;;;;;;;;;;;;
;#VALEUR!;#VALEUR!;;;;;;;;;;;;;;
;#VALEUR!;#VALEUR!;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
0;;;0;56;0;54;41;58;156;244;6;9;0;479;335;387
