Titre;mois_sortie;annee_sortie;date_sortie;duree_min;genre1;réalisateur_1;actor_1;actor 2;note_spectators;Scer;tiolity 1;nomitions;language;real awards;first actor awards;Second actor awards
Temps Mort;5;2023;3 mai 2023;118;Drame;Eve Duchemin;Karim Leklou;Issaka Sawadogo;3,6;Eve Duchemin;Belgique;0;Français;;1;0
Teen Wolf : le film;2;2023;23 février 2023;140;Drame;Russell Mulcahy;Tyler Posey;Crystal Reed;3,2;Jeff Davis (V);U.S.A.;0;Anglais;1;0;0
Tengo sueños eléctricos;3;2023;8 mars 2023;103;Drame;Valenti Maurel;Daniela Marin varro;Reildo Amien Gutierrez;3,6;Valenti Maurel;Belgique;0;Espagnol;0;;
Ténor;5;2022;4 mai 2022;101;Comédie;Claude Zidi Jr.;Michèle Laroque;Mohammed Belkhir;3,7;Cyrille Droux;France;0;Français;0;9;
Terrifier 2;1;2023;11 janvier 2023;138;Epouvante-horreur;Damien Leone;Lauren LaVera;David Howard Thornton;2,6;Damien Leone;U.S.A.;0;Anglais;;0;
Terror On The Prairie;11;2022;17 novembre 2022;;Western;Michael Polish;Gi Carano;Samaire Armstrong;2;Josiah Nelson;U.S.A.;0;Anglais;3;0;0
Thai Massage;1;2023;14 janvier 2023;124;Comédie;Mangesh Hadawale;Gajraj Rao;Divyendu Sharma;;;Inde;0;Turc;;;
Thallumaala;9;2022;26 septembre 2022;148;Action;Khalidh Rahman;Tovino Thomas;Kalyani Priyadarshan;;Ashraf Hamza;Inde;0;-;;;
Thank God;12;2022;19 décembre 2022;121;Comédie;Indra Kumar;Rakul Preet Singh;Sidharth Malhotra;;;Inde;0;Hindi;0;0;0
Thank You;7;2022;22 juillet 2022;150;Drame;Vikram K. Kumar;ga Chaitanya Akkineni;Rashi Khan;;Vikram K. Kumar;Inde;0;Autre;;;0
Thar : Les trois cibles;5;2022;6 mai 2022;108;Action;Raja Singh Choudhary;Sanjay Bishnoi;Anil Kapoor;2,9;Raja Singh Choudhary;Inde;0;Hindi;;;1
That's Amor;8;2022;25 août 2022;96;Comédie;Shaun Paul Piccinino;Riley Dandy;Isaac Gonzalez Rossi;2,2;John Ducey;U.S.A.;0;Anglais, Espagnol;0;;
The African Desperate;10;2022;21 octobre 2022;100;Drame;;Ruby McCollister;;3,1;;U.S.A.;0;Anglais;;;0
The Assistant;11;2022;7 novembre 2022;;Action;Adrian Teh;Iedil Putra;Hairul Azreen;3;Adrian Teh;Malaisie;0;Malais;;0;
The Batman;3;2022;2 mars 2022;177;Action;Matt Reeves;Robert Pattinson;Zoë Kravitz;4,1;Matt Reeves;U.S.A.;7;Anglais;7;8;0
The Big 4;12;2022;15 décembre 2022;141;Action;Timo Tjahjanto;Abima Aryasatya;Putri Marino;2,3;Timo Tjahjanto;Indonésie;0;Indonésien;0;;
The Binge 2 : joyeuses fêtes;12;2022;16 décembre 2022;;Comédie;Jordan VanDi;Kaitlin Olson;Danny Trejo;2,5;Jordan VanDi;U.S.A.;0;Anglais;;0;0
The Bunker Game;2;2023;5 février 2023;91;Epouvante-horreur;Roberto Zazzara;Gaia Weiss;Mark Ryder (II);1,5;Roberto Zazzara;Italie;0;Anglais;;1;0
The Cellar;4;2022;26 avril 2022;90;Epouvante-horreur;Brendan Muldowney;Elisha Cuthbert;Eoin Macken;2;Brendan Muldowney;Irlande;0;Anglais;2;2;0
The Communion Girl;4;2023;26 avril 2023;99;Epouvante-horreur;Victor Garcia (VI);Carla Campra;Marc Soler;2,1;Guillem Clua;Espagne;1;Espagnol;0;0;
