Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Dil Se..;14 octobre 2022; 2h 43min ;Bollywood;Comédie;Drame;Mani Rathnam;NA;Manisha Koirala;Preity Zinta;Shah Rukh Khan;NA;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=33393.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=56899.html;NA;Inde;NA;NA;1           ;-;Hindi, Urdu;NA;1;0;0
Dil To Pagal Hai;6 juin 2005; 3h 00min ;Comédie musicale;Romance;NA;Yash Chopra;NA;Madhuri Dixit;Karisma Kapoor;Akshay Kumar;NA;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=96929.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=100254.html;Yash Chopra;Inde;NA;NA;0;-;Hindi;NA;1;0;0
Dilan 1990;10 novembre 2022; 1h 50min ;Drame;Romance;NA;Pidi Baiq;Fajar Bustomi;Iqbaal Dhiafakhri Ramadhan;Vanesha Prescilla;Yoriko Angeline;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=288435.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=920123.html;NA;Indonésie;NA;NA;0;-;Indonésien;NA;NA;NA;0
Edwin Boyd;20 novembre 2017; 1h 45min ;Drame;NA;NA;Nathan Morlando;NA;Scott Speedman;Kelly Reilly;Kevin Durand;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=197377.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=540559.html;Nathan Morlando;Canada;NA;NA;5            ;5 000 000 $;Anglais;NA;15;1;3
Edy;2 novembre 2005; 1h 41min ;Comédie;Policier;NA;Stéphan Guérin-Tillié;NA;François Berléand;Philippe Noiret;Yves Verhoeven;2,8;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=45506.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=19337.html;Stéphan Guérin-Tillié;France;NA;Mars Distribution;1           ;3 800 000 €;Français;NA;1;1;4
Effacer l’historique;26 août 2020; 1h 46min ;Comédie;NA;NA;Gustave Kervern;Benoît Delépine;Blanche Gardin;Denis Podalydès;Corinne Masiero;4,0;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=275608.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=97326.html;Benoît Delépine;France;Belgique;Ad Vitam;1         2            ;-;Français;515 132 entrées;6;0;10
Effets secondaires;3 avril 2013; 1h 46min ;Policier;Drame;NA;Steven Soderbergh;NA;Rooney Mara;Channing Tatum;Jude Law;3,6;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=200313.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=11732.html;Scott Z. Burns;U.S.A.;NA;ARP Sélection;9            ;$30,000,000;Anglais;485 579 entrées;5;1;1
Effi Briest;2 mai 2018; 2h 20min ;Drame;NA;NA;Rainer Werner Fassbinder;NA;Hanna Schygulla;Wolfgang Schenck;Ulli Lommel;NA;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=532.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=343.html;Rainer Werner Fassbinder;Allemagne de l'Ouest;NA;Carlotta Films;0;-;Allemand;NA;2;2;0
Effie Gray;16 février 2016; 1h 49min ;Biopic;Drame;Historique;Richard Laxton;NA;Dakota Fanning;Emma Thompson;Julie Walters;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=196865.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=132073.html;Emma Thompson;Grande-Bretagne;NA;NA;0;-;Anglais;NA;2;1;6
Effraction;18 juillet 2012; 1h 31min ;Drame;Thriller;NA;Joel Schumacher;NA;Nicolas Cage;Nicole Kidman;Ben Mendelsohn;1,3;1,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=183477.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=7832.html;Karl Gajdusek;U.S.A.;NA;Metropolitan FilmExport;3            ;35 000 000 $;Anglais;211 218 entrées;15;3;12
Effraction;6 avril 1983; 1h 35min ;Policier;NA;NA;Daniel Duval;NA;Jacques Villeret;Marlène Jobert;Bruno Cremer;NA;2,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=31682.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=12474.html;Daniel Duval;France;NA;Parafrance;0;-;Français;NA;0;3;1
Effroyables jardins;26 mars 2003; 1h 35min ;Comédie dramatique;NA;NA;Jean Becker;NA;Jacques Villeret;André Dussollier;Thierry Lhermitte;3,1;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=47066.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=5488.html;Jean Becker;France;NA;UFD;0;15 320 000 €;Français;719 354 entrées;2;3;4
Eegah;5 décembre 2017; 1h 30min ;Aventure;Fantastique;NA;Arch Hall Sr.;NA;Richard Kiel;Arch Hall jr.;Marilyn Manning;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=171161.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=176555.html;Bob Wehling;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Egō;27 avril 2022; 1h 30min ;Epouvante-horreur;NA;NA;Hanna Bergholm;NA;Siiri Solalinna;Sophia Heikkilä;Jani Volanen;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=286121.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=457185.html;Ilja Rautsi;Finlande;Suède;The Jokers / Les Bookmakers;2         3            ;-;Finnois;NA;NA;NA;NA
Egon Schiele;16 août 2017; 1h 49min ;Biopic;Drame;Historique;Dieter Berner;NA;Noah Saavedra;Maresi Riegner;Valerie Pachner;2,6;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=248409.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=14539.html;Hilde Berger;Autriche;Luxembourg;Bodega Films;0;-;Allemand;34 159 entrées;NA;0;0
Egoshooter;9 octobre 2022; 1h 12min ;Drame;NA;NA;Oliver Schwabe;Christian Becker (II);Tom Schilling;Lennie Burmeister;Lilia Lehner;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=108183.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=193020.html;Oliver Schwabe;Allemagne;NA;NA;0;-;Allemand;NA;0;1;NA
Eggs;23 juin 2021; 1h 28min ;Animation;NA;NA;John Michael Williams;NA;Joe Pantoliano;Brooke Shields;Sandra Bernhard;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=293030.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=934649.html;John Michael Williams;U.S.A.;Pologne;NA;0;-;Anglais;NA;NA;0;1
Eh mec, elle est où ma caisse ?;18 avril 2001; 1h 24min ;Comédie;Science Fiction;NA;Danny Leiner;NA;Ashton Kutcher;Seann William Scott;Jennifer Garner;2,6;2,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=29342.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=56355.html;Philip Stark;U.S.A.;NA;UFD;0;U$S 13 000 000;Anglais;64 071 entrées;0;2;1
Everybody Happy;7 novembre 2022; Drame;Drame;NA;NA;Nic Balthazar;NA;Peter Van den Begin;Barbara Sarafian;Josse De Pauw;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=296930.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=204536.html;Nic Balthazar;Belgique;NA;NA;0;-;Néerlandais;NA;NA;0;0
Everybody knows;9 mai 2018; 2h 13min ;Drame;Thriller;NA;Asghar Farhadi;NA;Penélope Cruz;Javier Bardem;Ricardo Darín;3,2;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=258350.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=104291.html;Asghar Farhadi;Espagne;France;Memento Distribution;15            ;-;Espagnol;828 912 entrées;14;9;11
Everybody Wants Some !!;20 avril 2016; 1h 57min ;Comédie;NA;NA;Richard Linklater;NA;Blake Jenner;Ryan Guzman;Tyler Hoechlin;3,4;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=230720.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=86146.html;Richard Linklater;U.S.A.;NA;Metropolitan FilmExport;0;-;Anglais;21 935 entrées;6;0;0
Everybody's all American;21 février 2017; 2h 07min ;Comédie dramatique;Romance;NA;Taylor Hackford;NA;Jessica Lange;Dennis Quaid;Timothy Hutton;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=31796.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=12562.html;Thomas Rickman;U.S.A.;NA;NA;0;-;Anglais;NA;1;8;1
Everybody's Fine;15 août 2015; 1h 39min ;Comédie dramatique;NA;NA;Kirk Jones (II);NA;Robert De Niro;Drew Barrymore;Kate Beckinsale;NA;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=135492.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=139434.html;Kirk Jones (II);U.S.A.;NA;NA;1           ;21 000 000 $;Anglais;NA;1;6;2
Everyday I Love You;3 décembre 2022; Drame, Romance;Drame;Romance;NA;Mae Czarina Cruz;NA;NA;NA;NA;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=287976.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=440103.html;NA;Philippines;NA;NA;0;-;Filipino, Anglais, Autre;NA;0;0;0
Everyman's War - L'offensive des Ardennes;13 septembre 2011; 1h 44min ;Guerre;NA;NA;Thad Smith;NA;Cole Carson;Lauren Bair;Michael J. Prosser;NA;1,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=183016.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=454024.html;Craig Smith;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Everyone Else;8 décembre 2010; 1h 59min ;Drame;Romance;NA;Maren Ade;NA;Birgit Minichmayr;Lars Eidinger;Hans-Jochen Wagner;3,4;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=141631.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=101537.html;Maren Ade;Allemagne;NA;Why Not Productions;2         6            ;-;Allemand, Italien;518 entrées;5;2;0
Everyone's Going to Die;9 juillet 2014; 1h 23min ;Drame;NA;NA;Max Barron;Michael Woodward;Nora Tschirner;Rob Knighton;Kellie Shirley;3,0;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=217658.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=624174.html;Max Barron;Grande-Bretagne;NA;ARP Sélection;0;60 000 €;Anglais;6 129 entrées;0;0;0
Everything About Her;16 novembre 2022; 2h 07min ;Comédie dramatique;NA;NA;Joyce Bernal;NA;Vilma Santos;Angel Locsin;Xian Lim;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=294726.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=834019.html;NA;Philippines;NA;NA;0;-;Filipino, Autre;NA;0;0;0
Everything But a Man;25 octobre 2022; 1h 50min ;Comédie dramatique;Romance;NA;Nnegest Likké;NA;Monica Calhoun;Jimmy Jean-Louis;Camille Winbush;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=295754.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=145148.html;NA;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Everything Everywhere All at Once;31 août 2022; 2h 19min ;Action;Comédie;Drame;Daniel Scheinert;Daniel Kwan;Michelle Yeoh;Ke Huy Quan;Jamie Lee Curtis;3,9;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=270743.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=607370.html;Daniel Scheinert;U.S.A.;NA;Pathé Live;10         17            ;-;Anglais, Cantonais, Mandarin;343 196 entrées;NA;2;NA
Everything is fine (Tout est parfait);7 janvier 2009; 2h 00min ;Drame;NA;NA;Yves Christian Fournier;NA;Maxime Dumontier;Chloé Bourgeois;Maxime Bessette;3,4;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=138088.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=230884.html;Guillaume Vigneault;Canada;NA;UGC Distribution;1         1           ;-;Français;4 683 entrées;0;1;0
Everything, Everything;21 juin 2017; 1h 36min ;Drame;Romance;NA;Stella Meghie;NA;Amandla Stenberg;Nick Robinson;Ana de la Reguera;2,0;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=249823.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=760119.html;J. Mills Goodloe;U.S.A.;NA;Warner Bros. France;0;10,000,000;Anglais;376 118 entrées;0;0;0
Evidence;11 avril 2014; 1h 38min ;Policier;Thriller;NA;Olatunde Osunsanmi;NA;Stephen Moyer;Radha Mitchell;Caitlin Stasey;NA;2,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=196862.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=220999.html;NA;U.S.A.;NA;NA;0;-;Anglais;NA;0;1;0
Fort Massacre;6 janvier 2022; 1h 20min ;Western;NA;NA;Joseph M. Newman;NA;Joel McCrea;Forrest Tucker;Susan Cabot;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=213096.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=14193.html;Martin Goldsmith;U.S.A.;NA;NA;0;-;Anglais;NA;2;0;0
Fort Saganne;11 mai 1984; 3h 00min ;Aventure;Drame;Romance;Alain Corneau;NA;Gérard Depardieu;Philippe Noiret;Catherine Deneuve;NA;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=1305.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3769.html;Alain Corneau;France;NA;AAA;5            ;-;Français;NA;4;13;4
Fort Ti;31 mai 2018; 1h 13min ;Aventure;Guerre;Western;William Castle;NA;James Seay;Ben Astar;Irving Bacon;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=25702.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=13589.html;Robert E. Kent;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Fort Yuma;25 septembre 2012; 1h 18min ;Western;NA;NA;Lesley Selander;NA;Peter Graves;Joan Vohs;John Hudson;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=209448.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=59095.html;Danny Arnold;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
Fortapàsc;5 janvier 2011; 1h 48min ;Biopic;Drame;NA;Marco Risi;NA;Libero De Rienzo;Valentina Lodovini;Michele Riondino;3,1;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=174715.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=10208.html;Marco Risi;Italie;NA;Bellissima Films;      ;-;Italien;1 823 entrées;1;0;0
Forte;14 avril 2020; 1h 35min ;Comédie;NA;NA;Katia Lewkowicz;NA;Melha Bedia;Valérie Lemercier;Alison Wheeler;3,4;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=269383.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=51488.html;Frédéric Hazan;France;NA;NA;4            ;-;Français;NA;11;0;3
Forteresse;12 avril 2019; 1h 51min ;Aventure;Fantastique;NA;Yuriy Kovalyov;NA;Daniil Kamenskyi;Ivan Denysenko;Hryhoriy Derevyanskyi;NA;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=273368.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=870947.html;Yuriy Kovalyov;Ukraine;NA;Rimini Editions;0;-;ukrainien;NA;NA;NA;NA
Fortitude;6 juin 1994; 3h 02min ;Drame;NA;NA;Waris Hussein;NA;James Fox;Michael York;Patsy Kensit;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=178915.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=68053.html;NA;France;U.S.A.;TF1;0;-;Anglais;NA;0;1;0
Fortress;17 mars 1993; 1h 28min ;Action;Science Fiction;NA;Stuart Gordon;NA;Christopher Lambert;Kurtwood Smith;Loryn Locklin;NA;1,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=29574.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=42696.html;Troy Neighbors;Australie;U.S.A.;NA;0;-;Anglais;NA;6;5;0
Fortress 2 : reincarceration;5 juillet 2000; 1h 32min ;Fantastique;NA;NA;Geoff Murphy;NA;Christopher Lambert;Patrick Malahide;Pam Grier;2,3;1,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=25260.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=14429.html;Steven Feinberg;U.S.A.;NA;NA;0;-;Anglais;NA;1;5;0
Fortress: Sniper's Eye;28 avril 2022; 1h 37min ;Action;Thriller;NA;Josh Sternfeld;NA;Jesse Metcalfe;Bruce Willis;Chad Michael Murray;NA;1,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=292606.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=106605.html;Alan Horsnail;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;1
Fortuna;19 septembre 2018; 1h 42min ;Drame;NA;NA;Germinal Roaux;NA;Kidist Siyum Beza;Bruno Ganz;Patrick d'Assumçao;3,3;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=262888.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=756086.html;Germinal Roaux;Suisse;Belgique;Nour Films;0;-;Français, Amharique;30 854 entrées;NA;NA;1
Fortunat;16 novembre 1960; 1h 57min ;Comédie dramatique;NA;NA;Alex Joffé;NA;Bourvil;Michèle Morgan;Gaby Morlay;NA;4,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=2807.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=7163.html;Alex Joffé;Italie;France;NA;0;-;Français;NA;0;1;3
Fortunata;24 janvier 2018; 1h 43min ;Drame;NA;NA;Sergio Castellitto;NA;Jasmine Trinca;Nicole Centanni;Alessandro Borghi;2,9;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=255503.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=6119.html;Margaret Mazzantini;Italie;NA;Paname Distribution;1         5            ;-;Italien;31 063 entrées;1;2;NA
Fortune express;24 avril 1991; 1h 30min ;Comédie;NA;NA;Olivier Schatzky;NA;Arno Chevrier;Hervé Langlois;Vincent De Bouard;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=31655.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=24760.html;Pierre Jolivet;France;NA;Altaïr;1           ;-;Français;NA;2;0;0
Goon: Last of the Enforcers;24 octobre 2022; 1h 41min ;Comédie;NA;NA;Jay Baruchel;NA;Seann William Scott;Jay Baruchel;Elisha Cuthbert;NA;2,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=237880.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=50623.html;Jay Baruchel;Canada;NA;NA;0;-;Anglais;NA;0;1;0
Gone;20 novembre 2017; 1h 34min ;Epouvante-horreur;Thriller;NA;Mattias Olsson;Henrik JP Åkesson;Sofia Ledarp;Kjell Bergqvist;Bjorn Kjellman;NA;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=203988.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=560495.html;Mattias Olsson;Suède;NA;NA;0;-;Suédois, Allemand, Anglais;NA;0;0;0
Gone;28 novembre 2022; 2h 10min ;Drame;NA;NA;Daniel Ademinokan;NA;Bimbo Ademoye;Gabriel Afolayan;Stella Damasus;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=297739.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=941916.html;NA;Nigéria;NA;NA;0;-;-;NA;NA;NA;NA
Gone Baby Gone;26 décembre 2007; 1h 55min ;Policier;Drame;Thriller;Ben Affleck;NA;Casey Affleck;Michelle Monaghan;Morgan Freeman;3,3;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=47165.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=1193.html;Ben Affleck;U.S.A.;NA;The Walt Disney Company France;4            ;19 000 000 $;Anglais;283 004 entrées;14;5;3
Gone Girl;8 octobre 2014; 2h 29min ;Policier;Drame;Thriller;David Fincher;NA;Ben Affleck;Rosamund Pike;Neil Patrick Harris;4,0;4,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=217882.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=15709.html;Gillian Flynn;U.S.A.;NA;Twentieth Century Fox France;10            ;-;Anglais;1 892 955 entrées;5;14;1
Gone In The Night;12 décembre 2022; 1h 30min ;Fantastique;Thriller;NA;Eli Horowitz;NA;Winona Ryder;Dermot Mulroney;John Gallagher Jr.;NA;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=296328.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=827031.html;Eli Horowitz;U.S.A.;NA;NA;0;-;Anglais;NA;NA;1;0
Gonflés à bloc;1 mars 2022; 2h 00min ;Comédie;NA;NA;Ken Annakin;NA;Peter Cook;Dudley Moore;Jack Hawkins;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=44611.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=5075.html;Ken Annakin;France;Italie;NA;0;-;Anglais, Français, Italien;NA;1;0;2
Gong jeong sahoe;6 avril 2013; 1h 15min ;Drame;Thriller;NA;Ji-seung Lee;NA;Young-nam Jang;Seong-woo Bae;Ma Dong-seok;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=298045.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=527201.html;NA;Corée du Sud;NA;NA;0;-;Coréen;NA;NA;0;0
Gonger 2, le maudit;16 février 2011; 1h 30min ;Epouvante-horreur;NA;NA;Philipp Osthus;NA;Sebastian Ströbel;Dario Stankewitz;Vijessna Ferkic;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=196926.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=489856.html;Ben Bernschneider;Allemagne;NA;NA;0;-;Allemand;NA;NA;0;0
Gonjiam: Haunted Asylum;31 octobre 2018; 1h 35min ;Epouvante-horreur;NA;NA;Beom-sik Jeong;NA;Ji-Hyun Park;Sung-Hoon Park;Wi Ha-Joon;NA;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=263298.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=211282.html;Beom-sik Jeong;Corée du Sud;NA;Well Go USA Entertainment;1           ;-;Coréen;NA;6;NA;NA
Gönül yarasi, blessures du coeur;9 février 2005; 2h 18min ;Drame;NA;NA;Yavuz Turgul;NA;Şener Şen;Meltem Cumbul;Timuçin Esen;4,0;1,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=59347.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=11357.html;Yavuz Turgul;Turquie;NA;Too Cool Production & Distribution;0;2 850 000 $;Turc;NA;1;0;0
Gordo, calvo y bajito;20 avril 2017; 1h 40min ;Animation;Comédie dramatique;NA;Carlos Osuna;NA;Álvaro Bayona;Julio Medina;Sandra Reyes;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=198031.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=542472.html;Carlos Osuna;Colombie;NA;NA;4            ;-;Français, Espagnol, Anglais;NA;4;0;0
Gorge Coeur Ventre;16 novembre 2016; 1h 22min ;Drame;Thriller;NA;Maud Alpi;NA;Virgile Hanrot;Dimitri Buchenet;NA;3,4;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=249288.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=261406.html;Maud Alpi;France;NA;Shellac;1           ;-;Français;742 entrées;2;0;0
Gorge profonde;27 août 1975; 1h 28min ;Erotique;NA;NA;Gerard Damiano;NA;Linda Lovelace;Harry Reems;Dolly Sharp;NA;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=7904.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=16006.html;Gerard Damiano;U.S.A.;NA;Alpha France - Blue One;0;25 000 $;Anglais;NA;0;0;0
Gori Tere Pyaar Mein;14 octobre 2022; 2h 31min ;Comédie;Romance;NA;Punit Malhotra;NA;Imran Khan;Kareena Kapoor;Nizhalgal Ravi;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=225269.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=532003.html;Punit Malhotra;Inde;NA;NA;0;-;Anglais, Hindi, Tamoul;NA;NA;0;1
Hindi Medium;12 mai 2017; 2h 12min ;Comédie dramatique;NA;NA;Saket Chaudhary;NA;Irrfan Khan;Deepak Dobriyal;Delzad Hiwale;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=255335.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=170139.html;NA;Inde;NA;Aanna Films;0;-;Hindi;NA;0;0;0
Hindsight;20 février 2013; 2h 02min ;Action;Policier;Romance;Hyun-seung Lee;NA;Song Kang-Ho;Jeong-myeong Cheon;Min-jun Kim;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=217431.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=79544.html;Hyun-seung Lee;Corée du Sud;NA;NA;0;-;Coréen;NA;0;0;0
Hinokio;20 novembre 2020; 1h 41min ;Fantastique;NA;NA;Takahiko Akiyama;NA;Masatoshi Nakamura;Kanata Hongo;Mikako Tabe;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=124389.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=176999.html;Takahiko Akiyama;Japon;NA;NA;0;-;Japonais;NA;0;0;0
Hinterland;28 décembre 2022; 1h 38min ;Thriller;NA;NA;Stefan Ruzowitzky;NA;Murathan Muslu;Max von der Groeben;Liv Lisa Fries;3,1;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=278610.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=41551.html;Stefan Ruzowitzky;Autriche;Luxembourg;Eurozoom;0;-;Allemand;7 929 entrées;1;0;0
Hippocrate;3 septembre 2014; 1h 42min ;Comédie dramatique;NA;NA;Thomas Lilti;NA;Vincent Lacoste;Reda Kateb;Jacques Gamblin;3,8;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=216480.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3777.html;Thomas Lilti;France;NA;Le Pacte;1         8            ;-;Français;898 660 entrées;6;4;2
Hipótesis;12 février 2014; 1h 46min ;Policier;Thriller;NA;Hernán Goldfrid;NA;Ricardo Darín;Alberto Ammann;Calu Rivero;2,6;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=208342.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=580566.html;Patricio Vega;Argentine;Espagne;Eurozoom;1           ;-;Espagnol;26 401 entrées;1;1;1
Hirokin;11 février 2013; 1h 41min ;Action;Aventure;NA;Alejo Mo-Sun;NA;Wes Bentley;Jessica Szohr;Angus Macfadyen;NA;1,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=204811.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=534997.html;Alejo Mo-Sun;U.S.A.;NA;NA;0;-;Anglais;NA;0;2;1
