Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Blonde et Brune;9 mars 2005; 0h 59min ;Comédie;NA;NA;Christine Dory;NA;Kait Tenison;Christèle Tual;Aude Briant;2,9;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=57336.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=93127.html;Christine Dory;France;NA;Shellac;0;-;Français;NA;0;0;0
Blonde sur ordonnance;6 mai 2014; 1h 32min ;Comédie;Drame;Romance;Geoff Moore;David Posamentier;Sam Rockwell;Olivia Wilde;Michelle Monaghan;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=185699.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=209114.html;Geoff Moore;U.S.A.;NA;NA;0;-;Anglais;NA;0;4;3
Blondes, brunes, rousses;15 janvier 1964; 1h 45min ;Comédie;Comédie musicale;NA;Norman Taurog;NA;Elvis Presley;Joan O'Brien;Gary Lockwood;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=58397.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=13828.html;Si Rose;U.S.A.;NA;Warner Home Video;0;-;Anglais;NA;1;0;0
Blondie Johnson;4 décembre 2013; 1h 07min ;Drame;NA;NA;Lucien Hubbard;Ray Enright;Joan Blondell;Chester Morris;Allen Jenkins;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=218936.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=131703.html;Earl Baldwin;U.S.A.;NA;NA;0;-;Anglais;NA;1;2;1
Blondie Maxwell ne perd jamais;12 août 2020; 1h 27min ;Thriller;NA;NA;Julien Ivanowich;NA;Léonie Langlart;Julien Ivanowich;Vincent Terrier;NA;1,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=285246.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=548845.html;Julien Ivanowich;France;NA;NA;0;-;Français;NA;NA;NA;NA
Blondine;21 août 2019; 1h 01min ;Drame;NA;NA;Henri Mahe;NA;Georges Marchal;Nicole Maurey;Michele Philippe;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=20545.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=29599.html;Paule Hutzler;France;NA;NA;0;-;Français;NA;NA;0;0
Blondy;1 janvier 2016; 1h 45min ;Drame;NA;NA;Sergio Gobbi;NA;Rod Taylor;Bibi Andersson;Mathieu Carrière;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=171102.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=18254.html;NA;France;Allemagne;NA;0;-;Français;NA;0;0;2
Blow;11 septembre 2001; 2h 00min ;Biopic;Drame;NA;Ted Demme;NA;Johnny Depp;Penélope Cruz;Franka Potente;2,9;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=31057.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=35009.html;David McKenna;U.S.A.;NA;Metropolitan FilmExport;1           ;30 000 000 $;Anglais;244 298 entrées;2;9;9
Blow Out;17 février 1982; 1h 47min ;Policier;Drame;Thriller;Brian De Palma;NA;John Travolta;Nancy Allen;John Lithgow;4,0;3,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=1993.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=954.html;Brian De Palma;U.S.A.;NA;Mission;0;18 000 000 $;Anglais;NA;1;4;1
Blow the Man Down;20 mars 2020; 1h 31min ;Comédie;Drame;NA;Bridget Savage Cole;NA;Morgan Saylor;Sophie Lowe;Margo Martindale;NA;2,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=273857.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=872642.html;Bridget Savage Cole;U.S.A.;NA;NA;0;-;Anglais;NA;NA;0;0
