Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
#Alive;23 septembre 2021; 1h 38min ;Action;Drame;Epouvante-horreur;Hyung-cho Il;NA;Ah-In Yoo;Shin-Hye Park;Hyun-Wook Lee;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=283365.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=507000.html;Hyung-cho Il;Corée du Sud;NA;Netflix;0;-;Coréen;NA;NA;0;NA
10 jours sans maman;19 février 2020; 1h 38min ;Comédie;NA;NA;Ludovic Bernard;NA;Franck Dubosc;Aure Atika;Alexis Michalik;2,2;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=273882.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=172509.html;Ludovic Bernard;France;NA;StudioCanal;0;-;Français;1 177 447 entrées;1;4;6
100% loup;28 octobre 2020; 1h 36min ;Animation;Famille;Fantastique;Alexs Stadermann;NA;Adrien Dussaiwoir;Jerra Wright-Smith;Damien Locqueneux;3,2;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=264648.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=490444.html;Fin Edquist;Australie;NA;Alba Films;0;-;Anglais;161 234 entrées;0;NA;NA
12 Hour Shift;18 novembre 2021; 1h 26min ;Comédie;Epouvante-horreur;Thriller;Brea Grant;NA;Angela Bettis;David Arquette;Chloe Farnworth;NA;2,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=281733.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=223322.html;Brea Grant;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
18 cadeaux;23 septembre 2021; 1h 55min ;Drame;Famille;NA;Francesco Amato;NA;Vittoria Puccini;Benedetta Porcaroli;Edoardo Leo;NA;3,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=282312.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=173276.html;Francesco Amato;Italie;NA;NA;0;-;Italien;NA;4;0;0
18% Grey;24 octobre 2022; 1h 50min ;Drame;NA;NA;Viktor Chouchkov;NA;Ruscen Vidinliev;Dolya Gavanski;Samuel Finzi;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=305799.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=548397.html;NA;Bulgarie;Allemagne;NA;0;-;Anglais, Bulgare, Allemand;NA;0;NA;0
2 coeurs;8 février 2021; 1h 46min ;Drame;Romance;NA;Lance Hool;NA;Radha Mitchell;Jacob Elordi;Kari Matchett;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=283597.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=41653.html;Veronica Hool;U.S.A.;NA;NA;0;-;Anglais;NA;0;0;0
200 mètres;9 juin 2021; 1h 37min ;Aventure;Drame;NA;Ameen Nayfeh;NA;Ali Suliman;Anna Unterberger;Gassan Abbas;3,7;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=286571.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=914979.html;Ameen Nayfeh;Palestine;Jordanie;Shellac;0;-;Arabe;10 401 entrées;NA;0;0
2067;12 février 2021; 1h 54min ;Science Fiction;Thriller;NA;Seth Larney;NA;Kodi Smit-McPhee;Ryan Kwanten;Damian Walshe-Howling;NA;1,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=274158.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=745134.html;Seth Larney;Australie;NA;Koba Films;0;-;Anglais;NA;NA;1;0
365 Dni;24 octobre 2022; 1h 54min ;Drame;Erotique;Romance;Barbara Bialowas;Tomasz Mandes;Anna-Maria Sieklucka;Michele Morrone;Grazyna Szapolowska;NA;1,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=280764.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=899269.html;Tomasz Klimala;Pologne;NA;NA;6            ;-;Anglais, Italien, Polonais;NA;NA;NA;NA
